"ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","",""
"401
Intro-Experimental Oncology","001","","18","3.438","27.8","27.8","27.8","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","18","3.800","61.1","11.1","11.1",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"675","002","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Cancer Research","Course Total","","31","3.806","38.7","6.5","6.5",".",".",".",".","48.4",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","6","3.800","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Carcnognsis&Tumor Cell Biol","001","","15","3.571","46.7","26.7","13.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","21","3.571","14.3",".","4.8",".",".",".",".","38.1",".",".",".","42.9",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","52","3.871","32.7","3.8","1.9",".",".",".",".","38.5",".",".",".","23.1",".",".",".","."
