"ALS","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","",""
"368
Envr Law, Toxic Subst&Consv","001","","50","3.010","10.0","22.0","36.0","24.0",".","4.0",".","2.0",".",".",".",".",".","2.0",".","."
"606
Colloquium in Env Tox","001","","104","2.897","2.9","15.4","43.3","23.1","8.7",".",".","4.8",".",".",".",".","1.9",".",".","."
"625
Toxicology I","001","","9","3.278","44.4","11.1","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"630
Ecotoxcol:Tox Effect-Ecosys","001","","13","3.077","30.8","23.1","15.4","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"699","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.875","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Seminar","001","","36","4.000","11.1",".",".",".",".",".",".","86.1",".",".",".",".","2.8",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","37","4.000","51.4",".",".",".",".",".",".","29.7",".",".",".","18.9",".",".",".","."
