"EDU","","","","","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","","",""
"DANCE
741","Dept. Total","481","3.703","52.8","21.2","9.6","1.7","0.6","",".","0.2","13.3","",".",".","",".","",".","",".","0.6",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","51","3.860","80.4","13.7","3.9",".",".","",".",".","2.0","",".",".","",".","",".","",".",".",".","."
"Sophomore","","77","3.717","57.1","24.7","7.8","3.9",".","",".",".","5.2","",".",".","",".","",".","",".","1.3",".","."
"Junior","","106","3.692","52.8","23.6","10.4","1.9","0.9","",".",".","10.4","",".",".","",".","",".","",".",".",".","."
"Senior","","204","3.671","46.6","21.6","11.3","1.5","1.0","",".",".","17.2","",".",".","",".","",".","",".","1.0",".","."
"Undergraduates","","438","3.709","53.9","21.7","9.6","1.8","0.7","",".",".","11.6","",".",".","",".","",".","",".","0.7",".","."
"Special","","17","3.560","58.8","11.8","11.8",".",".","",".","5.9","11.8","",".",".","",".","",".","",".",".",".","."
"Graduate","","26","3.700","30.8","19.2","7.7",".",".","",".",".","42.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","481","3.703","52.8","21.2","9.6","1.7","0.6","",".","0.2","13.3","",".",".","",".","",".","",".","0.6",".","."
