"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","18","3.222","27.8","22.2","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","100
002","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","15","3.400","20.0","53.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","16","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","84","3.482","36.9","34.5","20.2","7.1",".","1.2",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","001
111","","19","3.000","26.3","15.8","31.6","5.3","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","","6","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","","11","3.273","36.4","36.4","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","212
001","","13","3.462","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","20","3.250","25.0","40.0","20.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","212
003","","17","3.088","11.8","23.5","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"","004
212","","18","3.417","33.3","27.8","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","005
212","","21","3.476","33.3","28.6","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientif/Business Com","Course Total","","89","3.337","27.0","31.5","29.2","11.2",".",".","1.1",".",".",".",".",".",".",".",".","."
"","299
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","13","3.154","23.1","23.1","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","10","3.694","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","11","3.545","54.5",".","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","29","3.664","69.0","6.9","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Family","376
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Consumer Investgtv Reportng","430
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","","16","3.594","50.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Publicity Media and Methods","515
001","","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publicatn,Illustratn&Layout","530
001","","10","2.950",".","50.0","40.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Senior Honors Thesis","681
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
