"","990
053","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
055","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
056","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
057","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","58","3.977","96.6","1.7","1.7",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"PSYCH
820","Dept. Total","4663","2.934","28.2","14.0","21.1","10.8","18.6","5.3","1.6","0.2","0.0",".","",".","",".","0.1","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1212","2.600","14.9","13.1","18.2","12.9","29.0","8.8","3.1",".",".",".","",".","",".",".",".",".","."
"Sophomore","","1063","2.735","19.4","11.5","22.8","13.3","22.8","8.5","1.8",".",".",".","",".","",".",".","0.1",".","."
"Junior","","1120","3.029","29.8","13.4","24.8","11.1","16.3","2.9","1.1","0.1","0.1",".","",".","",".","0.1","0.3",".","."
"Senior","","942","3.285","39.2","19.0","22.0","7.4","9.2","1.8","0.4","0.6",".",".","",".","",".","0.1","0.2",".","."
"Undergraduates","","4337","2.888","25.1","14.1","21.9","11.3","19.9","5.7","1.7","0.2","0.0",".","",".","",".","0.0","0.1",".","."
"Special","","57","3.500","57.9","12.3","14.0","3.5","3.5","1.8","1.8","1.8",".",".","",".","",".","1.8","1.8",".","."
"Graduate","","267","3.737","71.5","13.1","10.1","3.4","0.7",".",".","0.7",".",".","",".","",".","0.4",".",".","."
"Prof Yr 1","","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","4663","2.934","28.2","14.0","21.1","10.8","18.6","5.3","1.6","0.2","0.0",".","",".","",".","0.1","0.2",".","."
