"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","380","3.775","76.6","13.9","6.6","0.3","1.8","0.3","",".","0.5","",".",".",".","",".","",".",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","99","3.706","74.7","9.1","11.1",".","5.1",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","133","3.764","72.2","20.3","5.3","0.8","0.8",".","",".","0.8","",".",".",".","",".","",".",".",".","."
"Junior","","78","3.789","80.8","11.5","6.4",".",".","1.3","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","70","3.844","84.3","10.0","2.9",".","1.4",".","",".","1.4","",".",".",".","",".","",".",".",".","."
"Undergraduates","","380","3.775","76.8","13.7","6.6","0.3","1.8","0.3","",".","0.5","",".",".",".","",".","",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"","College Total","382","3.775","76.7","13.9","6.5","0.3","1.8","0.3","",".","0.5","",".",".",".","",".","",".",".",".","."
