"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"N E","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","1.000",".",".",".",".",".","50.0",".","50.0","",".",".","",".",".","",".",".",".","."
"Sophomore","","13","3.149","30.8","15.4","23.1","23.1","7.7",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","14","3.268","21.4","57.1",".",".","21.4",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","54","2.904","24.1","27.8","20.4","7.4","9.3","1.9","7.4","1.9","",".",".","",".",".","",".",".",".","."
"Undergraduates","","83","2.993","24.1","30.1","16.9","8.4","10.8","2.4","4.8","2.4","",".",".","",".",".","",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","63","3.730","42.9","15.9","11.1",".","1.6",".",".","19.0","",".",".","",".","9.5","",".",".",".","."
"","Dept. Total","147","3.307","32.0","24.5","14.3","4.8","6.8","1.4","2.7","9.5","",".",".","",".","4.1","",".",".",".","."
