"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Advanced Independent Study","Course Total","","69","3.794","56.5","21.7","8.7","4.3","1.4",".",".","4.3",".",".",".","1.4","1.4",".",".","."
"790","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","9","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"816","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"816","002","","14","3.792","50.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"Spec Topics-Systems Design","Course Total","","21","3.881","61.9","19.0","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","4.8"
"823
Topics-Operations Research","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","19","4.000","73.7",".",".",".",".",".",".","15.8",".",".",".","5.3",".",".",".","5.3"
"913
Smr in Decision Sciences","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"946
Adv Topics-Manufacturng Sys","001","","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"961
Grad Smr-Industrial Engr","001","","6","3.857","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","22","4.000","77.3",".",".",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
