"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"100
Dept & Career Orientation","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"318
Principles-Wildlife Ecology","001","","208","2.819","18.8","10.6","27.4","13.0","25.0","3.8","1.0","0.5",".",".",".",".",".",".",".","."
"319
Ecol Prin Appl to Wildlife","001","","63","3.500","58.7","14.3","15.9",".","7.9","1.6","1.6",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","68","2.824","16.2","13.2","27.9","25.0","11.8","1.5","4.4",".",".",".",".",".",".",".",".","."
"375","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","10","3.712","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"401
Physiologicl Animal Ecology","001","","37","2.649","10.8","8.1","24.3","35.1","10.8","10.8",".",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","46","3.457","52.2",".","41.3",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","12","3.250","8.3","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"630
Ecotoxcol:Tox Effect-Ecosys","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.955","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Wildlife Ecol Teachng","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","25","4.000","76.0",".",".",".",".",".",".","8.0",".",".",".","16.0",".",".",".","."
