"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"400
Topics in Biology","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Compar Anatomy-Vertebrates","001","","121","3.306","50.4","5.0","19.8","11.6","9.9","3.3",".",".",".",".",".",".",".",".",".","."
"431","001","","30","3.283","43.3","6.7","33.3","3.3","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"431","002","","29","3.034","37.9",".","27.6","6.9","24.1","3.4",".",".",".",".",".",".",".",".",".","."
"431","003","","26","3.308","53.8","7.7","19.2",".","11.5","7.7",".",".",".",".",".",".",".",".",".","."
"431","004","","30","3.483","53.3","16.7","13.3","6.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"Comparative Anatomy Lab","Course Total","","115","3.278","47.0","7.8","23.5","4.3","13.9","3.5",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","73","3.219","23.3","8.2","60.3","5.5","2.7",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","71","2.472","12.7","7.0","23.9","11.3","31.0","9.9","4.2",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","76","3.476","47.4","17.1","19.7","10.5","3.9",".",".","1.3",".",".",".",".",".",".",".","."
"531
Ethology Laboratory","001","","19","3.211","21.1","21.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"540
Theoretical Ecology","001","","21","3.895","95.2",".",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"545
Evolutionary Physiology","001","","13","3.767","84.6","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","200","3.003","26.0","8.0","34.5","7.5","21.0","2.5",".","0.5",".",".",".",".",".",".",".","."
"619
Biology of Mind","001","","61","3.448","27.9","39.3","23.0","3.3",".","1.6",".","3.3",".",".",".",".",".","1.6",".","."
"630
Endocrinology (Hormones)","001","","38","3.158","13.2","21.1","36.8","15.8","2.6",".",".",".",".",".",".",".",".",".","10.5","."
"639
Capstone-Field Biology I","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Developmental Biology","001","","13","3.818","53.8","30.8",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","3.953","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","3.778","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"691","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","048","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
