"MANAGEMENT AND HUMAN RE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"773
Seminar-Arts Administration","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","056","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","082","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"872
Smr-Org Behavior & Design","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Doctoral Rsch Smr in Mgmt","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
