"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","",""
"","103
001","","11","3.300","36.4","27.3","9.1","9.1",".","9.1",".","",".",".","",".",".","",".","","9.1",".",".","."
"","103
002","","8","3.500","50.0","12.5","12.5",".","12.5",".",".","",".",".","",".",".","",".","",".",".","12.5","."
"First Semester Greek","Course Total","","19","3.382","42.1","21.1","10.5","5.3","5.3","5.3","",".",".","",".",".","",".","",".","5.3",".","5.3","."
"","303
001","","9","3.143","44.4","11.1","11.1","22.2",".","11.1",".","",".",".","",".",".","",".","",".",".",".","."
"","303
002","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"First Semester Greek","Course Total","","10","3.179","40.0","20.0","10.0","20.0",".","10.0","",".",".","",".",".","",".","",".",".",".",".","."
"Intermediate Greek","305
001","","9","3.750","66.7",".","22.2",".",".",".",".","","11.1",".","",".",".","",".","",".",".",".","."
"Elem Prose Composition","505
001","","20","3.658","50.0","25.0","20.0",".",".",".",".","","5.0",".","",".",".","",".","",".",".",".","."
"Directed Study","699
002","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Seminar-Related Fields","970
001","","12","3.958","91.7","8.3",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"GREEK
428","Dept. Total","","71","3.555","56.3","16.9","12.7","4.2","1.4","2.8","",".","2.8","",".",".","",".","",".","1.4",".","1.4","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","1.833",".",".",".","33.3","33.3","33.3","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","10","3.757","60.0","30.0","10.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","9","3.056","33.3","11.1","22.2","22.2",".","11.1","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","10","3.694","60.0","20.0","20.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","32","3.339","46.9","18.8","15.6","9.4","3.1","6.3","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","4","4.000","25.0",".",".",".",".",".","",".","25.0","",".",".","",".","",".","25.0",".","25.0","."
"Graduate","","","35","3.794","68.6","17.1","11.4",".",".",".","",".","2.9","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","71","3.555","56.3","16.9","12.7","4.2","1.4","2.8","",".","2.8","",".",".","",".","",".","1.4",".","1.4","."
