"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Political Socialization","477","001","17","3.367","17.6","35.3","29.4","5.9",".",".",".","5.9",".",".",".",".",".","5.9",".","."
"Dev Mod West Pol Thought","502","001","49","3.738","63.3","22.4","6.1","2.0","2.0",".",".","2.0",".",".",".",".","2.0",".",".","."
"Contemp Political Thought","503","001","37","3.282","27.0","24.3","24.3","21.6",".",".",".","2.7",".",".",".",".",".",".",".","."
"Challenge of Democratizatn","505","001","24","3.474","54.2","8.3","25.0","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","506","001","28","3.296","28.6","28.6","25.0","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"Issues in Political Thought","509","001","110","3.148","15.5","23.6","42.7","12.7","4.5","0.9",".",".",".",".",".",".",".",".",".","."
"Quantitative Anal-Pol Data","551","001","24","2.833","29.2","12.5","20.8","8.3","12.5",".","8.3","8.3",".",".",".",".",".",".",".","."
"Transitions to the Market","612","001","12","3.370","8.3","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"W Eur Pol Sys-Germany","620","001","33","2.939","15.2","6.1","45.5","18.2","15.2",".",".",".",".",".",".",".",".",".",".","."
"Politics of Southeast Asia","639","001","22","2.944","18.2","22.7","18.2","22.7","18.2",".",".",".",".",".",".",".",".",".",".","."
"Politcl Power-Contemp China","642","001","20","3.316","25.0","25.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Pol&Society:Contemp E Europ","659","001","21","3.324","33.3","23.8","9.5","19.0","4.8",".",".","4.8",".",".",".",".",".","4.8",".","."
"African Politics","660","001","14","3.132","35.7","21.4","28.6",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","681","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seniors Honors Thesis","","Course Total","8","3.860","62.5","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".",".","."
"Senior Honors Thesis Smr","683","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","010","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","040","8","3.313","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","","Course Total","18","3.583","38.9","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","9","3.938","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","20","3.880","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development Planning & Adm","771","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poli Sci as a Discipline","800","001","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Meth-Political Rsch","816","001","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
