"","999
012","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
016","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
018","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Reading","Course Total","7","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"RP & SE
194","Dept. Total","874","3.889","83.1","11.6","3.2","1.0","0.1","",".","0.1","0.1","",".",".","",".","0.7","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.921","89.3","7.1",".","3.6",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","107","3.904","86.0","11.2","0.9","1.9",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","174","3.887","85.6","8.6","4.6","0.6","0.6","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","255","3.890","84.3","12.2","2.4","0.8",".","",".","0.4",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","564","3.893","85.3","10.6","2.7","1.1","0.2","",".","0.2",".","",".",".","",".",".","",".",".",".","."
"Special","","11","3.750","54.5","18.2","18.2",".",".","",".",".",".","",".",".","",".",".","",".",".","9.1","."
"Graduate","","299","3.884","79.9","13.0","3.7","1.0",".","",".",".","0.3","",".",".","",".","2.0","",".",".",".","."
"","Dept. Total","874","3.889","83.1","11.6","3.2","1.0","0.1","",".","0.1","0.1","",".",".","",".","0.7","",".",".","0.1","."
