"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","201
008","19","3.556","26.3","52.6","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","201
009","20","3.200","30.0","10.0","35.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","010
201","19","3.553","26.3","57.9","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
011","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
201","18","3.528","38.9","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","013
201","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
201","17","3.471","35.3","29.4","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","015
201","17","3.618","52.9","29.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","016
201","17","3.559","41.2","41.2","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","201
017","19","3.278","21.1","15.8","52.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","018
201","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"","201
019","20","3.526","40.0","25.0","25.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"Intermediate Composition","Course Total","319","3.540","37.3","37.9","18.5","4.1","0.9",".",".","0.6",".",".",".",".",".","0.6",".","."
"","203
001","13","3.269","38.5","23.1","23.1",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","203
003","16","2.938",".","31.3","31.3","31.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","203
004","13","3.346","23.1","30.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","14","3.321","28.6","28.6","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","006
203","15","3.533","33.3","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","71","3.275","23.9","32.4","25.4","14.1","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"","207
001","321","3.459","38.0","31.8","23.1","3.1","2.2","0.3","1.2",".",".",".",".",".",".","0.3",".","."
"","002
207","328","3.155","16.2","28.4","36.0","13.7","4.6","0.3","0.9",".",".",".",".",".",".",".",".","."
"","003
207","332","3.168","13.3","29.8","41.0","11.4","3.3","0.3","0.6",".",".",".",".",".",".","0.3",".","."
"","207
004","231","3.170","11.7","32.9","39.4","11.3","3.5","0.4","0.4",".",".",".",".",".",".","0.4",".","."
"","005
207","285","3.136","11.2","28.1","47.4","8.1","3.2","0.7","1.1","0.4",".",".",".",".",".",".",".","."
"","207
007","33","3.734","45.5","51.5",".",".",".",".",".",".",".",".",".",".",".",".","3.0","."
"Intro to Modern Lit, I","Course Total","1530","3.232","19.2","30.5","36.2","9.3","3.3","0.4","0.8","0.1",".",".",".",".",".","0.2","0.1","."
"","208
001","137","2.985","8.8","23.4","37.2","23.4","4.4","2.9",".",".",".",".",".",".",".",".",".","."
"","002
208","157","3.058","8.3","22.3","47.1","15.9","5.7",".",".","0.6",".",".",".",".",".",".",".","."
"Intro Modern Lit, II","Course Total","294","3.024","8.5","22.8","42.5","19.4","5.1","1.4",".","0.3",".",".",".",".",".",".",".","."
"","002
215","32","3.297","21.9","34.4","40.6",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"","215
003","104","3.157","8.7","31.7","42.3","12.5","2.9",".",".",".",".",".",".",".",".","1.9",".","."
"","004
215","33","3.318","21.2","39.4","27.3","6.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"English Lit before 1800","Course Total","169","3.206","13.6","33.7","39.1","8.9","3.0",".","0.6",".",".",".",".",".",".","1.2",".","."
"","216
001","66","3.288","19.7","36.4","34.8","6.1","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"","216
002","32","3.328","25.0","28.1","34.4","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"English Lit 1800-Present","Course Total","98","3.299","21.4","33.7","34.7","8.2","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","002
217","27","3.333","22.2","37.0","25.9","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"","217
003","67","3.142","9.0","31.3","43.3","11.9","4.5",".",".",".",".",".",".",".",".",".",".","."
"American Lit 1620-Present","Course Total","94","3.186","12.8","33.0","38.3","12.8","3.2",".",".",".",".",".",".",".",".",".",".","."
"Shakespearean Drama","219
001","146","3.395","28.8","33.6","27.4","5.5","2.1",".","0.7","0.7",".",".",".",".","0.7","0.7",".","."
"Bascom Course","236
001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","52","3.353","42.3","25.0","15.4","5.8","3.8","3.8","1.9","1.9",".",".",".",".",".",".",".","."
"Amer Indian Oral Literature","275
001","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","281
001","15","3.467","46.7","40.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
