"Intro to Chicano Studies","101
001","","32","3.234","12.5","34.4","43.8","6.3","3.1",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Topics in Chicano/a Studies","330
001","","22","3.568","31.8","54.5","9.1","4.5",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Contemp Issues of Chicanas","350
001","","16","3.250","25.0","50.0","6.3",".","12.5","6.3",".","",".","",".","",".",".","",".","",".","",".",".","."
"Contemporary Chicano Novel","460
001","","13","3.615","53.8","30.8","7.7",".","7.7",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"CHICLA
228","Dept. Total","","83","3.386","26.5","42.2","21.7","3.6","4.8","1.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","2.800",".","20.0","40.0","20.0","20.0",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","32","3.281","9.4","46.9","37.5","3.1","3.1",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","19","3.421","31.6","52.6","5.3",".","5.3","5.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","24","3.542","41.7","37.5","12.5","4.2","4.2",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","80","3.363","23.8","43.8","22.5","3.8","5.0","1.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","2","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","83","3.386","26.5","42.2","21.7","3.6","4.8","1.2","",".","",".","",".",".","",".","",".","",".",".",".","."
