"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"686
Honors Seminar in Psych","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
Undergraduate Thesis","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"693","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"693","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","27","3.985","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","031","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"694","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","39","3.931","92.3","2.6","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","19","3.972","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"695","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"695","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","022","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","59","3.944","89.8","8.5","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","007","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","017","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","023","","26","3.963","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","88","3.988","98.9",".","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 272 of 370",""
