"","990
045","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
047","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
049","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","","19","4.000","52.6",".",".",".","",".","",".","",".","47.4","",".",".","",".","",".","",".",".",".","."
"PATH
704","Dept. Total","","36","3.917","63.9","5.6","5.6",".","",".","",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","23","4.000","60.9",".",".",".","",".","",".","",".","39.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","7","3.688","57.1","14.3","28.6",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","13","3.824","69.2","15.4","15.4",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","39","3.917","66.7","5.1","5.1",".","",".","",".","",".","23.1","",".",".","",".","",".","",".",".",".","."
