"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","92","2.946","13.0","14.1","46.7","9.8","13.0","2.2","1.1",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","142","3.177","27.5","28.2","21.1","9.9","7.7","3.5","1.4",".",".",".",".",".",".","0.7",".","."
"220
Grwth,Compos&Eval-Meat Anml","001","","20","2.775",".","30.0","25.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"299","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"301
Physiol-Domestic&Lab Animal","001","","22","2.523","4.5","4.5","18.2","36.4","36.4",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","33","2.652","18.2","15.2","15.2","30.3","9.1",".","12.1",".",".",".",".",".",".",".",".","."
"313","001","","8","3.188","37.5",".","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","12","3.375","41.7","16.7","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","45","3.844","75.6","17.8","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"431
Beef Cattle Production","001","","15","2.967","6.7","20.0","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"435","001","","23","3.739","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"435","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","26","3.712","53.8","34.6","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Quantitative Genetics","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honor Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.955","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Muscle Biology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Practicum-Animal Sci Tchng","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 32 of 370"
