"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"531
Tibetan Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"551
Poetry in Hindi: 1500-1700","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Writing Travels","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.636","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"765
Smr-Indonesian Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"866
Spec Topics-South Asian St","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Smr:Intrdis Approach-S Asia","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".","14.3",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","25","4.000","56.0",".",".",".",".",".",".","40.0",".",".",".","4.0",".",".",".","."
