"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","201
001","88","3.318","29.5","23.9","31.8","10.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"","002
201","62","3.129","40.3","6.5","24.2","9.7","14.5","3.2","1.6",".",".",".",".",".",".",".",".","."
"Principles of Statistics I","Course Total","150","3.240","34.0","16.7","28.7","10.0","8.7","1.3","0.7",".",".",".",".",".",".",".",".","."
"","224
001","65","2.554","20.0","9.2","26.2","6.2","16.9","15.4","6.2",".",".",".",".",".",".",".",".","."
"","224
002","70","3.221","28.6","20.0","40.0","4.3","2.9","1.4","2.9",".",".",".",".",".",".",".",".","."
"","003
224","66","3.114","18.2","31.8","33.3","3.0","7.6","4.5","1.5",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","201","2.970","22.4","20.4","33.3","4.5","9.0","7.0","3.5",".",".",".",".",".",".",".",".","."
"","301
001","96","3.184","33.3","19.8","20.8","16.7","4.2",".","4.2","1.0",".",".",".",".",".",".",".","."
"","301
002","96","3.286","34.4","13.5","33.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","003
301","67","2.634","11.9","13.4","26.9","17.9","17.9","7.5","4.5",".",".",".",".",".",".",".",".","."
"","301
004","104","3.154","28.8","12.5","35.6","10.6","11.5",".","1.0",".",".",".",".",".",".",".",".","."
"","301
005","53","2.933","17.0","26.4","22.6","13.2","11.3","3.8","3.8",".","1.9",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","416","3.080","26.9","16.3","28.6","13.9","9.6","1.7","2.4","0.2","0.2",".",".",".",".",".",".","."
"Intro to Math Statistics","309
001","23","3.283","39.1","13.0","39.1",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","311
001","46","2.648","15.2","8.7","23.9","6.5","34.8","4.3","2.2","4.3",".",".",".",".",".",".",".","."
"","311
002","47","3.309","23.4","40.4","19.1","8.5","8.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","93","2.989","19.4","24.7","21.5","7.5","21.5","2.2","1.1","2.2",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","37","3.135","27.0","16.2","32.4","5.4","18.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","313
001","37","3.431","51.4","8.1","29.7",".","5.4",".","2.7","2.7",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","47","3.598","42.6","34.0","19.1","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"Intro Nonparametric Stats","351
001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Survey Theory & Meths","411
001","15","3.633","60.0","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","23","3.333","17.4","43.5","21.7",".","8.7",".",".","8.7",".",".",".",".",".",".",".","."
"","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","6","2.400",".",".","33.3",".","50.0",".",".","16.7",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","541
001","115","3.517","40.9","29.6","23.5","4.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"","541
002","53","3.890","81.1","5.7","7.5",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Intro to Biostatistics","Course Total","168","3.630","53.6","22.0","18.5","3.0","1.2",".",".","1.8",".",".",".",".",".",".",".","."
"","571
001","54","3.327","18.5","44.4","25.9","3.7","1.9",".","1.9","1.9",".",".",".",".",".","1.9",".","."
"","571
002","46","3.467","34.8","39.1","21.7","2.2",".",".","2.2",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","100","3.393","26.0","42.0","24.0","3.0","1.0",".","2.0","1.0",".",".",".",".",".","1.0",".","."
"Mathematical Statistics I","609
001","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Applied Time Series Anal I","001
701","26","3.558","42.3","26.9","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709
001","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Progrmg Thry&Appl","726
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Computing","771
001","37","3.743","51.4","45.9","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 295 of 370",""
