"","771
002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf Rsch Wrkrs-Clin Pharm","Course Total","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","5","***","","","","","","","","","",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","510","3.614","51.0","22.2","11.4","5.1","0.6","0.2","0.2",".",".","9.2",".","0.2",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Sophomore","","21","3.604","61.9","9.5","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","268","3.567","48.5","27.6","12.3","4.1","0.4",".","0.4",".",".","6.7",".",".",".",".",".","."
"Senior","","46","3.715","56.5","15.2","6.5","6.5",".",".",".",".",".","15.2",".",".",".",".",".","."
"Undergraduates","","335","3.592","50.4","24.8","11.9","4.8","0.3",".","0.3",".",".","7.5",".",".",".",".",".","."
"Special","","54","3.642","66.7","14.8","7.4","9.3",".","1.9",".",".",".",".",".",".",".",".",".","."
"Graduate","","13","3.789","53.8","30.8","7.7",".",".",".",".",".",".",".",".","7.7",".",".",".","."
"Prof Yr 1","","116","2.885","53.4","34.5","7.8","0.9","0.9",".",".",".",".","1.7",".","0.9",".",".",".","."
"Prof Yr 3","","41","3.481","39.0","17.1","17.1","9.8",".",".",".",".",".","17.1",".",".",".",".",".","."
"Prof Yr 4","","59","3.804","52.5","16.9","6.8",".","1.7",".",".",".",".","22.0",".",".",".",".",".","."
"Professionals","","216","3.673","50.5","26.4","9.3","2.3","0.9",".",".",".",".","10.2",".","0.5",".",".",".","."
"","Dept. Total","618","3.614","51.9","24.6","10.5","4.2","0.5","0.2","0.2",".",".","7.6",".","0.3",".",".",".","."
