"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","","","",""
"","999
005","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
020","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","","","","","","",""
"CNSR SCI
271","Dept. Total","393","3.321","38.4","21.4","18.3","14.5","6.4","",".","0.3","0.3","",".","0.3","",".","",".","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","24","3.311","29.2","29.2","20.8","20.8",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","137","3.087","22.6","23.4","18.2","22.6","12.4","",".",".",".","",".",".","",".","",".","",".","0.7",".","."
"Senior","","218","3.468","47.2","19.7","19.3","9.6","3.2","",".",".","0.5","",".","0.5","",".","",".","",".",".",".","."
"Undergraduates","","379","3.314","37.2","21.6","19.0","15.0","6.3","",".",".","0.3","",".","0.3","",".","",".","",".","0.3",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","13","3.462","69.2","15.4",".",".","7.7","",".","7.7",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","393","3.321","38.4","21.4","18.3","14.5","6.4","",".","0.3","0.3","",".","0.3","",".","",".","",".","0.3",".","."
