"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","16","",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","100.0"
"Prof Yr 1","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","1","2.000",".",".",".",".","100.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","62","3.366","35.5","27.4","17.7","11.3","8.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","139","3.749","66.2","25.2","6.5","2.2",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","203","3.528","56.2","26.1","9.9","4.9","3.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
