"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
002","16","3.375","31.3","25.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
344","18","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
004","17","3.324","29.4","17.6","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","344
005","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
006","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
007","17","3.382","23.5","35.3","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","008
344","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
009","15","3.200","20.0","13.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
010","14","3.464","21.4","50.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
344","16","3.406","31.3","18.8","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","344
013","18","3.333","27.8","27.8","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
014","16","3.313","25.0","18.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
015","17","3.235","29.4",".","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","217","3.378","28.6","26.7","36.9","7.4","0.5",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","001
345","157","2.727","19.1","10.8","17.8","14.0","29.9","1.3","3.8",".",".",".",".",".",".","3.2",".","."
"","346
001","16","3.643","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
346","17","3.652","35.3","58.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","33","3.648","45.5","42.4","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","27","3.308","29.6","22.2","33.3",".","11.1",".",".","3.7",".",".",".",".",".",".",".","."
"Intmed Analytical Chem","524
001","34","2.862","26.5","11.8","29.4","11.8","8.8","5.9","5.9",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","96","2.906","18.8","7.3","35.4","13.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","35","2.882","22.9","8.6","31.4","8.6","20.0","2.9","2.9",".",".",".",".",".",".",".",".","2.9"
"","001
563","17","3.559","35.3","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","563
002","18","3.588","44.4","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".","5.6",".","."
"","003
563","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
563","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","563
007","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","80","3.688","52.5","30.0","13.8","2.5",".",".",".",".",".",".",".",".",".","1.3",".","."
"","564
001","7","3.214","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","564
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","12","3.417","41.7","16.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565
001","73","3.250","39.7","8.2","30.1","8.2","11.0",".","1.4",".",".",".",".",".",".",".","1.4","."
"Chem Bonding & Reactivity","603
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spectrochemical Measuremts","605
001","32","3.339","34.4","18.8","37.5","3.1",".",".","3.1",".",".",".",".",".",".",".","3.1","."
"Symmtry/Bondng/Molec Shapes","608
001","16","3.807","62.5","25.0","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Instrumental Analysis","621
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrochemistry","624
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chem Instrumentation","626
001","18","3.843","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","641
001","30","3.450","26.7","40.0","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Chem & Stat Thermodynamics","661
001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quam Mech&Molec Spectroscpy","662
001","23","3.413","47.8","8.7","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Macromolecular Chem","664
001","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 168 of 370",""
