"GEOGRAPHY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","","81","2.796","12.3","17.3","30.9","13.6","21.0","1.2","3.7",".",".",".",".",".",".",".",".","."
"","120","001","","127","3.051","12.6","31.5","36.2","10.2","3.1","3.9","2.4",".",".",".",".",".",".",".",".","."
"","120","002","","87","3.218","25.3","21.8","34.5","10.3","6.9","1.1",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","","214","3.119","17.8","27.6","35.5","10.3","4.7","2.8","1.4",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","","31","3.274","45.2","19.4","16.1","3.2","6.5","9.7",".",".",".",".",".",".",".",".",".","."
"","127","001","","155","2.855","20.0","9.0","28.4","14.8","23.9","3.9",".",".",".",".",".",".",".",".",".","."
"","127","002","","180","2.833","13.9","19.4","25.0","16.1","21.1","2.2","2.2",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","","335","2.843","16.7","14.6","26.6","15.5","22.4","3.0","1.2",".",".",".",".",".",".",".",".","."
"World Regions:Concept&Probs","140","001","","37","2.649","8.1","16.2","29.7","16.2","21.6","2.7","5.4",".",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","","35","3.143","22.9","22.9","40.0","5.7","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","","21","2.552","4.8","4.8","47.6","4.8","33.3",".","4.8",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","10","3.450","30.0","50.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","9","2.722","22.2","11.1","11.1","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Human Role-Changing Earth","303","001","","28","3.074","17.9","14.3","46.4","7.1","7.1","3.6",".","3.6",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","","49","2.809","16.3","6.1","36.7","10.2","22.4","2.0","2.0","4.1",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","","31","2.871","22.6","19.4","12.9","19.4","16.1","9.7",".",".",".",".",".",".",".",".",".","."
"Geomorphology","320","001","","16","3.100","18.8","6.3","56.3",".","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Climatology","321","001","","17","3.438","52.9","5.9","17.6","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","","10","3.200","30.0","20.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Landforms&Landscapes-N Amer","329","001","","37","3.171","35.1","10.8","24.3","5.4","16.2","2.7",".",".",".",".",".",".",".",".","5.4","."
"Vegetation:Stability&Change","338","001","","33","3.258","30.3","24.2","18.2","21.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"","339","001","","77","3.058","22.1","22.1","27.3","15.6","9.1","1.3","2.6",".",".",".",".",".",".",".",".","."
"","339","002","","59","2.966","18.6","16.9","25.4","23.7","11.9","3.4",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","","136","3.018","20.6","19.9","26.5","19.1","10.3","2.2","1.5",".",".",".",".",".",".",".",".","."
"Africa, South of the Sahara","355","001","","26","2.880","23.1","7.7","15.4","30.8","15.4","3.8",".",".",".",".",".",".","3.8",".",".","."
"China and Southeast Asia","358","001","","22","3.095","27.3","9.1","27.3","18.2","13.6",".",".",".",".",".",".",".",".",".","4.5","."
"Quantitative Meth-Geog Anal","360","001","","22","3.295","54.5","4.5","18.2","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"","365","001","","15","3.400","66.7","13.3","6.7",".",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","365","002","","17","3.176","41.2","23.5","23.5",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","","Course Total","","32","3.281","53.1","18.8","15.6",".",".","3.1","9.4",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","","33","2.969","45.5","9.1","6.1","3.0","21.2","6.1","6.1","3.0",".",".",".",".",".",".",".","."
"Intro-Computer Cartography","375","001","","14","3.464","28.6","50.0","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","25","3.174","28.0","24.0","20.0","8.0","8.0",".","4.0",".",".",".",".",".",".",".","8.0","."
"Space&Place-A Geog Expernce","501","001","","48","3.344","37.5","27.1","20.8","4.2","8.3",".","2.1",".",".",".",".",".",".",".",".","."
"The Quaternary Period","527","001","","11","3.318","45.5","18.2","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"Humid Tropics","538","001","","32","3.083","15.6","25.0","31.3","3.1","18.8",".",".","3.1",".",".",".",".","3.1",".",".","."
"Problems in Cartography","570","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","602","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
