"BUS","","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","1993","2.957","22.9","14.2","31.0","8.4","17.9","3.3","1.6","0.6","0.1",".","",".","0.1","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","2.375",".",".","25.0","25.0","50.0",".",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","","303","2.743","19.1","7.3","32.7","7.3","24.8","6.6","2.3",".",".",".","",".",".","",".",".",".","."
"Junior","","695","2.880","19.4","15.3","28.8","9.1","21.7","4.0","1.6","0.1",".",".","",".",".","",".",".",".","."
"Senior","","723","2.958","20.6","13.8","33.7","10.1","17.4","2.4","1.5","0.4",".",".","",".",".","",".",".",".","."
"Undergraduates","","1725","2.887","19.8","13.2","31.5","9.2","20.5","3.8","1.7","0.2",".",".","",".",".","",".",".",".","."
"Special","","43","3.064","27.9","9.3","37.2",".","4.7",".","7.0","11.6",".",".","",".",".","",".",".","2.3","."
"Graduate","","218","3.542","45.4","22.5","26.1","3.7","0.5",".",".","0.9","0.5",".","",".","0.5","",".",".",".","."
"Prof Yr 1","","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","2","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Professionals","","7","3.471","42.9","28.6","14.3","14.3",".",".",".",".",".",".","",".",".","",".",".",".","."
"","Dept. Total","1993","2.957","22.9","14.2","31.0","8.4","17.9","3.3","1.6","0.6","0.1",".","",".","0.1","",".",".","0.1","."
