"","990
033","5","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
034","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","60","3.952","36.7",".","1.7",".",".",".",".","31.7","",".",".","",".","30.0",".",".",".","."
"Independent Work","999
009","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"M S & E
636","Dept. Total","608","3.404","39.8","19.6","19.6","4.9","2.6","1.2","0.5","6.6","",".",".","",".","3.0","0.3","1.8","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","3.149","32.0","20.0","28.0","12.0","4.0","4.0",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","129","3.275","31.0","21.7","31.8","8.5","5.4","1.6",".",".","",".",".","",".",".",".",".",".","."
"Junior","","103","3.407","42.7","16.5","26.2","7.8","2.9","1.0",".","1.0","",".",".","",".",".","1.9",".",".","."
"Senior","","156","3.349","36.5","30.8","14.1","3.8","3.2","1.9","1.9","0.6","",".",".","",".",".",".","7.1",".","."
"Undergraduates","","413","3.324","36.1","23.7","23.5","6.8","3.9","1.7","0.7","0.5","",".",".","",".",".","0.5","2.7",".","."
"Special","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","192","3.652","46.9","10.9","11.5","1.0",".",".",".","19.8","",".",".","",".","9.4",".",".","0.5","."
"","Dept. Total","608","3.404","39.8","19.6","19.6","4.9","2.6","1.2","0.5","6.6","",".",".","",".","3.0","0.3","1.8","0.2","."
