"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"","1","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","1","002","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","1","003","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","1","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","1","005","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","","Course Total","","39","3.934","76.9","12.8","2.6",".",".",".",".","2.6",".",".",".",".",".","5.1",".","."
"","11","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","11","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance I","","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111","001","","25","3.500","32.0","36.0","24.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Ballet Technique I","125","001","","25","3.771","72.0","16.0",".","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Rhythmic Movement Lab I","144","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151","001","","20","3.300","25.0","20.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167","001","","25","3.320","20.0","40.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241","001","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Dance: An Intro Survey","265","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31","001","","23","3.633","17.4","47.8",".",".",".",".",".","34.8",".",".",".",".",".",".",".","."
"Modern Dance Technique V","311","001","","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325","001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41","001","","44","3.464","15.9","29.5","15.9","2.3",".",".",".","36.4",".",".",".",".",".",".",".","."
"","41","002","","43","3.720","30.2","23.3","4.7",".",".",".",".","41.9",".",".",".",".",".",".",".","."
"","41","003","","46","3.800","65.2","4.3","4.3",".",".",".","2.2","21.7",".",".",".",".",".","2.2",".","."
"Ballroom Dancing","","Course Total","","133","3.670","37.6","18.8","8.3","0.8",".",".","0.8","33.1",".",".",".",".",".","0.8",".","."
"Ballroom Dance II","42","001","","25","3.563","24.0","24.0","16.0",".",".",".",".","36.0",".",".",".",".",".",".",".","."
"","451","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451","002","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","","Course Total","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","551","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","560","001","","11","3.636","45.5","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","","2","***","","","","","","","","","","","","","","","",""
