"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"150
Education and Public Policy","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Race,Ethnicty&Inequal-Am Ed","001","","35","3.279","17.1","40.0","22.9","14.3","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"300","001","","42","3.762","54.8","42.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","27","3.759","55.6","40.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","004","","27","3.704","48.1","44.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","006","","30","3.433","23.3","43.3","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","173","3.734","56.6","34.1","8.7","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"412
History-American Education","001","","45","3.467","28.9","46.7","20.0","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"477
Political Socialization","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"478
Compar Hist-Chldhood&Adoles","001","","14","3.321","28.6","7.1","64.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Philos of Moral Education","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Educ&Sex Role Socialization","001","","9","3.389","22.2","55.6","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"567
Hist-Educ of Black Americns","001","","12","3.708","75.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"570
Anthropology and Education","001","","17","3.618","52.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Problems in Educ Pol","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"648
Sociology of Education","001","","13","3.583","38.5","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"700
Colloquium-Ed Pol Studies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Classics in Education","001","","22","3.786","54.5","40.9",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"920
Education and Public Policy","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","27","3.900","29.6","7.4",".",".",".",".",".","33.3",".",".",".","25.9","3.7",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
