"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","370
006","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","58","3.741","56.9","34.5","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","44","3.375","31.8","22.7","38.6","2.3","4.5",".",".",".",".",".",".",".",".",".",".","."
"","376
002","52","3.346","25.0","32.7","32.7","5.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","003
376","62","3.363","24.2","35.5","32.3","4.8","3.2",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","158","3.361","26.6","31.0","34.2","4.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"","377
001","49","2.684","12.2","18.4","24.5","20.4","12.2","6.1","6.1",".",".",".",".",".",".",".",".","."
"","377
002","27","2.963","14.8","29.6","22.2","14.8","11.1","7.4",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","76","2.783","13.2","22.4","23.7","18.4","11.8","6.6","3.9",".",".",".",".",".",".",".",".","."
"Independent Study","399
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Electroacoustical Engr","001
401","23","3.348","30.4","26.1","39.1",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","411
001","20","2.950","25.0","10.0","30.0","10.0","20.0","5.0",".",".",".",".",".",".",".",".",".","."
"","411
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","411
003","10","3.500","20.0","30.0","20.0",".",".",".",".","10.0",".",".",".",".","20.0",".",".","."
"Intro to Electric Drive Sys","Course Total","31","3.089","22.6","16.1","29.0","6.5","12.9","3.2",".","3.2",".",".",".",".","6.5",".",".","."
"State Space System Analysis","416
001","11","3.364","45.5","9.1","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420
001","28","3.036","21.4","25.0","17.9","10.7","25.0",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","427
001","23","3.075","34.8","8.7","17.4","13.0","4.3","4.3","4.3","13.0",".",".",".",".",".",".",".","."
"Random Signal Analysis","430
001","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431
001","43","3.085","16.3","20.9","39.5","9.3","7.0",".","2.3","4.7",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444
001","13","3.167","30.8","15.4","15.4","15.4","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"Applied Communications Sys","447
001","42","3.061","19.0","26.2","14.3","23.8","14.3",".",".",".",".",".",".",".",".","2.4",".","."
"Medical Instrumentation","462
001","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468
001","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronics Lab","512
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundatns-Dynamic Phys Sys","520
001","9","3.625","55.6","22.2",".",".","11.1",".",".",".",".",".",".",".","11.1",".",".","."
"Introduction to Plasmas","525
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Image Processing","533
001","21","3.375","19.0","38.1","33.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","539
001","9","3.563","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"","539
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","Course Total","13","3.556","23.1","30.8","15.4",".",".",".",".",".",".",".",".",".","23.1",".",".","7.7"
"Analg MOS Integrtd Cir Dsgn","541
001","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Circuit Design","548
001","18","3.219","27.8","22.2","27.8","5.6",".",".","5.6","11.1",".",".",".",".",".",".",".","."
"","001
552","33","3.303","15.2","39.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","552
002","21","3.214","23.8","28.6","28.6","14.3",".","4.8",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","54","3.269","18.5","35.2","33.3","11.1",".","1.9",".",".",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553
001","26","3.327","38.5","11.5","30.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 117 of 370",""
