"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","21","3.525","28.6","47.6","14.3","4.8",".",".",".",".",".",".",".",".",".","4.8",".","."
"","116","002","","24","3.587","37.5","41.7","12.5","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"","116","003","","21","3.600","38.1","38.1","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","66","3.571","34.8","42.4","15.2","3.0",".",".",".","3.0",".",".",".",".",".","1.5",".","."
"Movement Activity Core","121","001","","20","3.075","20.0","25.0","30.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Athletic Injuries","217","001","","27","3.630","55.6","14.8","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","003","","32","3.875","78.1","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Phys Education","","Course Total","","38","3.879","78.9","18.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","35","3.086","34.3","20.0","22.9","2.9","8.6","8.6","2.9",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","43","3.256","11.6","44.2","30.2","11.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Education","316","001","","19","3.500","31.6","36.8","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Muscloskel Injry","317","001","","17","3.781","52.9","41.2",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Intro to Biomechanics","318","001","","53","3.321","32.1","18.9","30.2","18.9",".",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","17","3.938","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Phy Ed-Elem School Children","","Course Total","","58","3.860","75.9","17.2","5.2",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Intro to Sport Psychology","350","001","","64","3.492","43.8","26.6","20.3","6.3","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357","001","","22","3.636","50.0","27.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","59","3.576","49.2","30.5","8.5","10.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Athletic Training","398","001","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","399","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462","001","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","40","3.638","50.0","27.5","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","74","3.061","20.3","20.3","35.1","8.1","13.5","1.4","1.4",".",".",".",".",".",".",".",".","."
"Independent Study","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiores Adapt-Envr&Exer","773","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prin-Motor Control&Learning","861","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prin-Measuring Motor Behav","870","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Biodynamics Seminar","953","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Motor Behavior","963","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 103 of 370",""
