"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","221
001","22","3.523","36.4","31.8","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","19","3.250","36.8","5.3","26.3","21.1","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Elem Survey of Spanish Lit","Course Total","41","3.400","36.6","19.5","29.3","9.8","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","222
001","27","3.327","37.0","14.8","25.9","11.1","7.4",".",".","3.7",".",".",".",".",".",".",".","."
"","002
222","22","2.977","18.2","18.2","31.8","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","003
222","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Survey Hispan Lit-1700","Course Total","73","3.410","46.6","15.1","20.5","8.2","6.8","1.4",".","1.4",".",".",".",".",".",".",".","."
"","225
001","22","3.386","27.3","27.3","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
225","22","3.341","27.3","27.3","36.4","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","225
003","23","3.022","17.4","8.7","52.2","4.3","17.4",".",".",".",".",".",".",".",".",".",".","."
"","225
004","19","3.079","21.1","5.3","52.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","225
005","22","3.318","31.8","27.3","22.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","225
006","22","3.705","63.6","13.6","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
225","23","3.370","26.1","39.1","30.4",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","225
008","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
009","19","3.158","15.8","21.1","52.6",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","010
225","19","3.111","5.3","36.8","36.8","5.3","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","013
225","18","3.194","22.2","16.7","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","225
014","20","3.158","30.0","10.0","30.0","10.0","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"3rd Yr Lang Prac&Gram Rev","Course Total","247","3.300","28.7","22.3","36.0","4.9","6.9","0.4",".","0.8",".",".",".",".",".",".",".","."
"","226
001","24","3.229","20.8","29.2","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","226
002","19","3.188","36.8",".","21.1","10.5","15.8",".",".","15.8",".",".",".",".",".",".",".","."
"","226
003","22","3.119","13.6","22.7","45.5","9.1",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","004
226","21","2.881","14.3","14.3","42.9","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"","005
226","16","3.125","43.8",".","25.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","226
006","22","3.023","13.6","9.1","59.1","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"","007
226","23","2.870","4.3","17.4","43.5","17.4","17.4",".",".",".",".",".",".",".",".",".",".","."
"","008
226","24","2.938","8.3","8.3","58.3","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Lang-Written Exprssn","Course Total","171","3.039","18.1","13.5","42.1","10.5","11.7","1.2","0.6","2.3",".",".",".",".",".",".",".","."
"","001
311","21","3.900","76.2","19.0",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","311
002","18","3.000","5.6","33.3","33.3","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","311
003","21","3.476","28.6","38.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","15","2.867",".","40.0","13.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".","."
"","005
311","18","3.306","38.9","22.2","27.8","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","311
006","18","3.556","50.0","16.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Yr Language Practice","Course Total","111","3.377","35.1","27.9","22.5","9.0","2.7","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"","319
001","21","3.262","9.5","38.1","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","319
203","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","22","3.326","13.6","36.4","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","001
320","17","3.265","35.3","11.8","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","002
320","24","3.208","29.2","29.2","16.7","4.2","20.8",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","41","3.232","31.7","22.0","24.4","4.9","17.1",".",".",".",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
002","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish for Business","329
001","15","3.500","33.3","26.7","33.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
