"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","135","3.198","27.4","25.2","29.6","8.1","5.2",".","3.7","0.7",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","209","3.302","30.6","27.3","26.8","5.3","5.3","1.9","1.0","1.9",".",".",".",".",".",".",".","."
"W Architecture:Renaiss-Mod","208","001","59","3.421","39.0","32.2","13.6","5.1","3.4","1.7","1.7","3.4",".",".",".",".",".",".",".","."
"Colloquium in Art History","236","001","11","3.545","36.4","54.5",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Greek Art","300","001","33","3.361","33.3","24.2","27.3","3.0","3.0",".","3.0","6.1",".",".",".",".",".",".",".","."
"Donatello-da Vinci:14-1500","322","001","83","2.832","7.2","15.7","32.5","25.3","15.7","2.4",".","1.2",".",".",".",".",".",".",".","."
"History of Photography","355","001","84","3.554","42.9","27.4","25.0","3.6",".",".",".","1.2",".",".",".",".",".",".",".","."
"Mod Print&Printmkrs-1850 on","356","001","42","3.179","26.2","31.0","14.3","9.5","9.5","4.8",".","2.4",".",".",".",".","2.4",".",".","."
"Arts of India","362","001","18","3.381","50.0","22.2","11.1",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Arts of Japan","372","001","38","3.246","21.1","28.9","31.6","10.5","5.3",".",".","2.6",".",".",".",".",".",".",".","."
"Afr Art:Paleolthc-W Afr Emp","377","001","29","3.427","44.8","17.2","20.7","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"Hist of Painting in India","443","001","13","3.474","38.5","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"Art in Europe 1880-1914","452","001","41","3.326","36.6","26.8","12.2","2.4","2.4","2.4","4.9","9.8","2.4",".",".",".",".",".",".","."
"US Painting-1650-1900","460","001","28","3.229","21.4","25.0","32.1","3.6","10.7",".",".","7.1",".",".",".",".",".",".",".","."
"Proseminar in Ancient Art","505","001","11","3.319","54.5","18.2","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Prosem-Amer Architecture","567","001","11","3.219","18.2","18.2","45.5",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Museum Train&Connoisseurshp","601","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","3.775","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Practicum in Art History","701","001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","10","3.458","40.0","10.0","30.0","10.0",".",".",".",".",".",".",".","10.0",".",".",".","."
"Smr-Northern European Art","835","001","7","3.800","57.1",".","14.3",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"Smr-19 Cent European Art","855","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
