"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Linear Mathematics","Course Total","25","2.760","28.0","12.0","16.0","12.0","16.0","12.0","4.0",".",".",".",".",".",".",".",".","."
"","321
001","20","2.250","20.0","10.0","20.0",".","20.0","10.0","20.0",".",".",".",".",".",".",".",".","."
"","321
002","27","3.611","48.1","33.3","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","Course Total","47","3.032","36.2","23.4","14.9","4.3","8.5","4.3","8.5",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","322
001","14","3.214","28.6","35.7","21.4","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","340
001","28","3.357","46.4",".","42.9",".","10.7",".",".",".",".",".",".",".",".",".",".","."
"","340
002","25","2.740","20.0","8.0","32.0","12.0","16.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","003
340","31","2.629","16.1","9.7","22.6","6.5","38.7","3.2","3.2",".",".",".",".",".",".",".",".","."
"","340
004","25","2.700","24.0","4.0","28.0","16.0","16.0","4.0","8.0",".",".",".",".",".",".",".",".","."
"","340
005","28","2.833","21.4","7.1","25.0","17.9","21.4",".","3.6",".",".",".",".",".",".","3.6",".","."
"","340
006","31","2.677","38.7",".","16.1","6.5","12.9","22.6","3.2",".",".",".",".",".",".",".",".","."
"","340
007","27","2.815","18.5","14.8","22.2","14.8","22.2","7.4",".",".",".",".",".",".",".",".",".","."
"","008
340","27","2.667","25.9","11.1","11.1","11.1","25.9","11.1","3.7",".",".",".",".",".",".",".",".","."
"","340
009","30","2.717","16.7","6.7","43.3","3.3","16.7","10.0","3.3",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","252","2.791","25.4","6.7","27.0","9.5","20.2","7.5","3.2",".",".",".",".",".",".","0.4",".","."
"Math for Dynamic Modeling","415
001","8","3.250","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","431
001","20","2.825","30.0","15.0",".","20.0","30.0",".","5.0",".",".",".",".",".",".",".",".","."
"","002
431","21","3.025","14.3","19.0","33.3","14.3","14.3",".",".",".",".",".",".",".",".","4.8",".","."
"Intro-Theory of Probability","Course Total","41","2.925","22.0","17.1","17.1","17.1","22.0",".","2.4",".",".",".",".",".",".","2.4",".","."
"Applied Linear Algebra","443
001","12","3.167","50.0","16.7","8.3",".","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461
001","14","2.964","14.3","7.1","42.9","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Seminar","490
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","6","2.167",".","16.7","33.3","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".","."
"","521
001","28","2.596","17.9",".","39.3","3.6","17.9","7.1","7.1","7.1",".",".",".",".",".",".",".","."
"","521
002","20","2.650","10.0","10.0","30.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","Course Total","48","2.620","14.6","4.2","35.4","10.4","18.8","8.3","4.2","4.2",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","541
001","29","3.103","44.8","6.9","17.2",".","24.1","6.9",".",".",".",".",".",".",".",".",".","."
"","002
541","13","3.385","46.2","23.1","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","Course Total","42","3.190","45.2","11.9","14.3","2.4","21.4","4.8",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551
001","14","3.250","42.9",".","28.6",".","7.1","7.1",".",".",".",".",".",".",".",".","14.3","."
"Complex Analysis","623
001","10","3.200","40.0","20.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","632
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","632
002","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Math Meth in Physics & Engr","701
001","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Methods of Applied Math 1","001
703","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Numerical Functional Anal","717
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Crse in Real Analysis","721
001","18","3.438","33.3","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".","11.1","."
