"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"244
001
Power Skating","22","3.462","22.7","13.6","18.2","4.5",".",".",".","40.9",".",".",".","",".","",".",".",".","."
"262
001","22","3.875","59.1","9.1","4.5",".",".",".",".","22.7",".",".",".","",".","",".","4.5",".","."
"262
002","25","3.559","24.0","28.0","16.0",".",".",".",".","28.0",".",".",".","",".","","4.0",".",".","."
"Course Total
Tennis II","47","3.712","40.4","19.1","10.6",".",".",".",".","25.5",".",".","",".","",".","2.1","2.1",".","."
"263
001
Racquetball II","11","3.778","54.5","18.2","9.1",".",".",".",".","18.2",".",".",".","",".","",".",".",".","."
"275
001
Volleyball II","30","3.308","30.0",".","3.3",".","6.7",".","3.3","56.7",".",".",".","",".","",".",".",".","."
"277
001
Kendo:Intgratn-Mrtl&Lib Art","24","2.891","4.2","16.7","54.2","12.5","4.2",".","4.2","4.2",".",".",".","",".","",".",".",".","."
"295
001
Bicycling","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".","",".","",".",".",".","."
"301
001
Swim Endur&Stroke Proficncy","22","3.700","27.3","40.9",".",".",".",".",".","31.8",".",".",".","",".","",".",".",".","."
"308
001
Lifegrdng&Swimmng Supervisn","18","3.462","11.1","44.4","16.7",".",".",".",".","27.8",".",".",".","",".","",".",".",".","."
"310
001
Water Safety Instructor","16","3.577","31.3","31.3","18.8",".",".",".",".","12.5",".",".",".","",".","",".","6.3",".","."
"318
001
Topics in Martial Arts","14","3.292","35.7","7.1","28.6",".","14.3",".",".","7.1",".",".",".","",".","","7.1",".",".","."
"362
001
Tennis III","19","3.571","21.1","42.1","10.5",".",".",".",".","26.3",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1803","3.263","27.8","21.5","15.4","3.4","4.5","1.1","0.9","24.1","0.4",".","",".","",".","0.1","0.8","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","396","3.070","30.6","23.2","23.2","3.8","7.8","3.0","2.0","5.6",".",".","",".","",".",".","0.8",".","."
"Sophomore","417","3.271","29.7","22.8","16.8","3.6","7.2","0.5","0.2","18.0","0.7",".","",".","",".",".","0.5",".","."
"Junior","363","3.322","26.4","24.8","14.3","2.5","3.0","0.8","0.8","25.6","0.8",".","",".","",".",".","0.8",".","."
"Senior","430","3.405","27.4","20.9","12.1","4.7","1.6","0.7","0.5","30.7","0.2",".","",".","",".","0.2","0.9",".","."
"Undergraduates","1606","3.248","28.6","22.9","16.6","3.7","4.9","1.2","0.9","20.0","0.4",".","",".","",".","0.1","0.7",".","."
"Special","84","3.653","23.8","9.5","8.3","1.2",".",".",".","52.4",".",".","",".","",".","1.2","2.4","1.2","."
"Graduate","103","3.346","15.5","9.7","4.9","1.9","1.9",".","1.9","64.1",".",".","",".","",".",".",".",".","."
"Prof Yr 1","3","3.500",".","33.3",".",".",".",".",".","66.7",".",".","",".","",".",".",".",".","."
"Prof Yr 2","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","10","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".","",".","",".",".",".",".","."
"Dept. Total","1803","3.263","27.8","21.5","15.4","3.4","4.5","1.1","0.9","24.1","0.4",".","",".","",".","0.1","0.8","0.1","."
