"","725
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","725
002","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Public Utilities","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"Economics of Transportation","744
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"TRAN P U
243","Dept. Total","","46","3.554","52.2","19.6","21.7","4.3","",".","2.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","2.750",".",".","50.0","50.0","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","9","3.333","22.2","22.2","55.6",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","17","3.382","41.2","23.5","23.5","5.9","",".","5.9","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","28","3.321","32.1","21.4","35.7","7.1","",".","3.6","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","18","3.917","83.3","16.7",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","46","3.554","52.2","19.6","21.7","4.3","",".","2.2","",".","",".","",".",".","",".","",".","",".",".",".","."
