"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","",""
"Senior","2","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Undergraduates","2","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Special","7","3.125","28.6",".","42.9",".","14.3","",".",".",".","",".",".","",".","",".","14.3",".",".","."
"Graduate","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","289","3.480","29.1",".","18.0",".","4.8","",".",".","48.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","826","3.419","49.5","0.1","39.7",".","9.0","",".","0.6","0.6","",".",".","",".","",".",".",".",".","0.5"
"Prof Yr 3","3","2.000",".",".",".",".","33.3","",".",".","66.7","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","1119","3.427","44.1","0.1","34.0",".","8.0","",".","0.4","13.1","",".",".","",".","",".",".",".",".","0.4"
