"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","243","3.250","16.9","31.3","39.9","8.6","2.5","0.4",".","0.4",".",".",".",".",".",".",".","."
"","300
002","224","3.150","10.7","24.1","53.1","9.4","1.3","0.9",".","0.4",".",".",".",".",".",".",".","."
"","300
003","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","475","3.215","15.2","27.6","45.5","8.8","1.9","0.6",".","0.4",".",".",".",".",".",".",".","."
"","001
305","83","3.229","16.9","25.3","51.8","3.6","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","305
002","65","3.238","4.6","47.7","40.0","6.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","148","3.233","11.5","35.1","46.6","4.7","1.4",".","0.7",".",".",".",".",".",".",".",".","."
"","310
001","51","3.265","17.6","23.5","54.9","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","310
002","47","3.000","10.6","21.3","38.3","17.0","12.8",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","98","3.138","14.3","22.4","46.9","9.2","7.1",".",".",".",".",".",".",".",".",".",".","."
"","399
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"Marketing Communications","415
001","50","3.235","22.0","36.0","22.0","6.0","10.0","2.0",".","2.0",".",".",".",".",".",".",".","."
"","420
001","44","3.227","15.9","36.4","34.1","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","420
002","51","3.320","21.6","37.3","29.4","2.0","7.8",".",".","2.0",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","95","3.277","18.9","36.8","31.6","3.2","8.4",".",".","1.1",".",".",".",".",".",".",".","."
"Marketing Channels","425
002","13","3.077","23.1","7.7","53.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","430
001","25","3.022","24.0","16.0","24.0","12.0","8.0","8.0",".","4.0",".",".",".",".",".","4.0",".","."
"Promotional Campaigns","454
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","460
001","35","3.314","34.3","17.1","31.4","11.4","5.7",".",".",".",".",".",".",".",".",".",".","."
"","002
460","24","3.438","33.3","29.2","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","19","3.474","21.1","57.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","78","3.391","30.8","30.8","26.9","9.0","2.6",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","40","3.625","45.0","37.5","15.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","640
001","26","3.173","15.4","30.8","34.6","11.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"","700
001","28","3.482","21.4","53.6","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","40","3.425","22.5","40.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","68","3.449","22.1","45.6","32.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","001
710","29","3.482","37.9","17.2","41.4",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"Marketing Communications","715
001","24","3.587","41.7","29.2","25.0",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","33","3.409","24.2","36.4","36.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","730
001","37","3.375","27.0","27.0","35.1","8.1",".",".",".","2.7",".",".",".",".",".",".",".","."
"","799
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
040","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","799
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","28","3.773","7.1","7.1",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"Exper Research in Marketing","855
001","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 62 of 370"
