"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","302
031","15","2.200","26.7","13.3","20.0",".",".","6.7","33.3",".",".",".",".",".",".",".",".","."
"","070
302","7","2.857","42.9",".","28.6",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Algebraic Language Program","Course Total","505","2.665","19.0","15.0","22.8","11.3","15.6","7.3","7.9","0.6",".",".",".",".",".","0.4",".","."
"","310
001","139","2.806","10.8","19.4","32.4","19.4","9.4","5.0","3.6",".",".",".",".",".",".",".",".","."
"","310
002","99","2.889","8.1","21.2","36.4","23.2","6.1","3.0","2.0",".",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","Course Total","238","2.840","9.7","20.2","34.0","21.0","8.0","4.2","2.9",".",".",".",".",".",".",".",".","."
"","352
001","36","3.056","5.6","27.8","47.2","11.1","8.3",".",".",".",".",".",".",".",".",".",".","."
"","352
002","43","3.012","7.0","30.2","27.9","27.9","7.0",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","79","3.032","6.3","29.1","36.7","20.3","7.6",".",".",".",".",".",".",".",".",".",".","."
"","354
001","57","2.675","15.8","7.0","26.3","19.3","24.6","3.5","3.5",".",".",".",".",".",".",".",".","."
"","354
002","51","2.833","13.7","23.5","23.5","13.7","17.6","5.9","2.0",".",".",".",".",".",".",".",".","."
"","003
354","56","2.643","17.9","25.0","17.9","10.7","8.9","7.1","12.5",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","164","2.713","15.9","18.3","22.6","14.6","17.1","5.5","6.1",".",".",".",".",".",".",".",".","."
"","367
001","59","2.907","25.4","30.5","5.1","18.6","3.4","13.6","3.4",".",".",".",".",".",".",".",".","."
"","367
002","50","2.888","30.0","22.0","16.0","4.0","10.0","8.0","8.0","2.0",".",".",".",".",".",".",".","."
"","003
367","70","3.000","24.3","18.6","24.3","10.0","10.0","7.1","1.4",".",".",".",".",".",".","1.4","2.9","."
"","367
004","54","3.028","40.7","9.3","18.5","7.4","13.0","7.4","3.7",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","233","2.959","29.6","20.2","16.3","10.3","9.0","9.0","3.9","0.4",".",".",".",".",".","0.4","0.9","."
"Tech:Computer-Based Bus Sys","371
001","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","85","2.602","23.5","16.5","16.5","7.1","12.9","9.4","11.8","1.2",".",".",".",".",".","1.2",".","."
"Intro-Combinatorics","475
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","16","3.156","43.8",".","18.8","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theoretical Comp Sci","520
001","35","2.985","31.4","11.4","25.7","14.3","5.7",".","8.6",".",".",".",".",".",".","2.9",".","."
"Linear Programming Methods","001
525","19","2.974","15.8","31.6","26.3","15.8",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Image Processing","533
001","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","52","2.901","26.9","28.8","7.7","11.5","15.4","1.9","7.7",".",".",".",".",".",".",".",".","."
"","537
001","74","3.334","29.7","33.8","21.6","9.5","4.1","1.4",".",".",".",".",".",".",".",".",".","."
"","002
537","67","3.036","14.9","29.9","26.9","10.4","14.9","1.5",".","1.5",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","141","3.192","22.7","31.9","24.1","9.9","9.2","1.4",".","0.7",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539
001","30","3.328","30.0","30.0","26.7","6.7",".",".","3.3","3.3",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
002","51","2.678","15.7","15.7","13.7","27.5","21.6","2.0","3.9",".",".",".",".",".",".",".",".","."
"Natural Lang & Computing","545
001","10","3.778","70.0",".","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","552
001","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","552
002","12","3.167","25.0","16.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","19","3.211","21.1","26.3","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","107","3.261","49.5","12.1","21.5",".","12.1",".","3.7",".",".",".",".",".",".","0.9",".","."
"Introduction to Algorithms","577
001","92","3.473","42.4","37.0","15.2","1.1",".",".","4.3",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","94","2.918","26.6","7.4","23.4","10.6","27.7","1.1","1.1","1.1",".",".",".",".",".","1.1",".","."
"Senior Thesis","691
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 184 of 370",""
