"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"","699
050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","28","3.676","57.1","21.4","17.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Hist: Higher Ed-Europe&Amer","713
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar-Medieval History","719
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-Latin Amer History","730
001","","16","3.772","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Comparative World Hist","753
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","755
001","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","755
002","","11","3.833","54.5","27.3",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Prosem-S E Asian History","Course Total","","20","3.882","65.0","20.0",".",".",".",".",".","5.0",".",".",".",".","10.0",".",".","."
"Quantitative Meth-Hist Rsch","795
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar-Ancient History","801
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Hist Eur Dur Reform","814
001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".","7.7",".",".",".","."
"Smr-Rus Emp & Mod Se Eur","849
001","","6","3.786","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Ottoman & Mid E Hist","851
001","","8","3.864","37.5","12.5",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Seminar-History of Africa","861
001","","11","3.850","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:European Soc&Intel Hist","867
001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Prosem-Mod European History","891
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","901
001","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","28.6","14.3",".","."
"","901
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","901
003","","12","3.545","25.0","58.3",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","901
005","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in American History","Course Total","","41","3.795","58.5","29.3",".","2.4",".",".",".",".",".",".",".",".","7.3","2.4",".","."
"Rsch Smr: American History","902
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Hist Mass Com,Rsch&Meth","918
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-History American West","965
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Latin American Area","982
001","","10","3.944","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
990","","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","990
008","","13","4.000","61.5",".",".",".",".",".",".","30.8",".",".",".","7.7",".",".",".","."
"","990
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","","8","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"","990
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","","10","4.000","10.0",".",".",".",".",".",".","40.0",".",".",".","50.0",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 218 of 370",""
