"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","29","3.931","93.1","3.4",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","17","2.647","11.8","5.9","23.5","41.2","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"","211
002","","37","2.730","10.8","8.1","32.4","29.7","10.8","8.1",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","54","2.704","11.1","7.4","29.6","33.3","9.3","9.3",".",".",".",".",".",".",".",".",".","."
"","250
001","","35","2.829","14.3","14.3","31.4","14.3","22.9",".","2.9",".",".",".",".",".",".",".",".","."
"","002
250","","31","2.823","12.9","16.1","29.0","25.8","9.7","3.2","3.2",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","66","2.826","13.6","15.2","30.3","19.7","16.7","1.5","3.0",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311
001","","47","2.723","8.5","14.9","21.3","27.7","25.5","2.1",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320
001","","61","2.653","13.1","8.2","23.0","16.4","29.5","6.6",".","3.3",".",".",".",".",".",".",".","."
"","002
324","","12","3.042","8.3","41.7","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","12","3.333","25.0","33.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","10","3.400","40.0","40.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","324
005","","11","3.227","36.4","9.1","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","45","3.244","26.7","31.1","22.2","8.9","8.9","2.2",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326
001","","34","2.868","20.6","5.9","38.2","14.7","11.8","8.8",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","35","2.943","14.3","17.1","34.3","17.1","14.3","2.9",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","43","2.930","16.3","23.3","18.6","23.3","16.3",".","2.3",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","54","3.148","29.6","20.4","20.4","9.3","20.4",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","45","2.807","13.3","13.3","28.9","20.0","17.8","2.2","2.2","2.2",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540
001","","48","2.713","12.5","8.3","22.9","27.1","22.9","4.2",".","2.1",".",".",".",".",".",".",".","."
"Plastics & High Polymer Lab","541
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","","19","3.139","21.1","21.1","21.1","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","562
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
003","","13","3.043","7.7","30.8","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","562
005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","30","3.531","50.0","23.3","16.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567
001","","13","3.385","38.5","23.1","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","599
009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
599","","6","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","35","3.897","88.6","5.7",".","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Intmed Transport Phenomena","620
001","","30","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Problems in ChE","660
001","","19","3.500","47.4","10.5","26.3","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 108 of 370",""
