"ALS","","","","","","","","","","","","","","","","","","","",""
"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","48","2.883","25.0","12.5","22.9","14.6","14.6","4.2","4.2",".",".",".",".",".","2.1",".",".","."
"215","002","","77","2.961","28.6","15.6","19.5","13.0","15.6","5.2","2.6",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","125","2.931","27.2","14.4","20.8","13.6","15.2","4.8","3.2",".",".",".",".",".","0.8",".",".","."
"306
The Real Estate Process","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Farming Systems Management","001","","34","2.824","11.8","8.8","38.2","14.7","26.5",".",".",".",".",".",".",".",".",".",".","."
"322
Commodity Markets","001","","56","2.741","10.7","14.3","32.1","12.5","23.2","7.1",".",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","48","2.885","16.7","22.9","22.9","20.8","6.3","8.3","2.1",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","8","3.188","25.0","12.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","15","3.300","33.3","13.3","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"399","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"426
Quant Mthds-Ag Econ","001","","24","3.458","16.7","62.5","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"477
Ag Econ Development-Africa","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Pub Finance-Less Dev Cntry","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","13","3.385","30.8","23.1","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"731
Macroeconomics-Ag Developmt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"761
Welfr Thry&Beneft-Cost Anal","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Practicum: Ag Econ Teaching","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"990","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","4.000","52.4",".",".",".",".",".",".","33.3",".",".",".","9.5","4.8",".",".","."
"999","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Work-Agric Economics","Course Total","","2","***","","","","","","","","","","","","","","","",""
