"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"","103
001","22","3.643","54.5","22.7","9.1","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"","103
002","20","3.350","30.0","30.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","103
003","18","3.389","44.4","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","103
005","17","3.441","47.1","29.4","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","006
103","18","3.194","22.2","27.8","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","007
103","17","3.375","41.2","17.6","17.6","5.9","11.8",".",".",".",".",".",".",".",".","5.9",".","."
"Elementary Latin","Course Total","112","3.405","40.2","25.0","18.8","6.3","7.1",".","0.9","0.9",".",".",".",".",".","0.9",".","."
"","001
203","19","3.000","42.1",".","21.1",".","31.6","5.3",".",".",".",".",".",".",".",".",".","."
"","002
203","16","3.125","31.3","18.8","6.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","003
203","11","3.182","27.3","36.4","18.2",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","46","3.087","34.8","15.2","15.2","10.9","19.6","4.3",".",".",".",".",".",".",".",".",".","."
"Latin Lit of Roman Republic","301
001","20","3.275","15.0","40.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Lucretius","510
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mediaeval Latin","563
001","15","3.692","46.7","26.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".","6.7","."
"Directed Study","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Related Fields","970
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","212","3.354","38.2","24.5","18.9","6.1","8.5","0.9","0.5","1.4",".",".",".",".",".","0.5","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","36","3.357","38.9","27.8","16.7","2.8","8.3",".","2.8",".",".",".",".",".",".","2.8",".","."
"Sophomore","","46","3.456","37.0","30.4","23.9","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Junior","","41","3.283","31.7","26.8","19.5","9.8","12.2",".",".",".",".",".",".",".",".",".",".","."
"Senior","","57","3.179","36.8","15.8","21.1","8.8","14.0","3.5",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","180","3.312","36.1","24.4","20.6","6.7","10.0","1.1","0.6",".",".",".",".",".",".","0.6",".","."
"Special","","7","3.538","42.9",".",".","14.3",".",".",".","28.6",".",".",".",".",".",".","14.3","."
"Graduate","","25","3.709","52.0","32.0","12.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","Dept. Total","212","3.354","38.2","24.5","18.9","6.1","8.5","0.9","0.5","1.4",".",".",".",".",".","0.5","0.5","."
