"TERM : 0982","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1997-98","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY
132","Dept. Total","","94","3.632","53.2","13.8","16.0","1.1","3.2","",".","",".","11.7","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","3.200","25.0",".","75.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","9","3.323","44.4","11.1","22.2","11.1","11.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","27","3.421","48.1","18.5","25.9",".","7.4","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","40","3.369","45.0","15.0","30.0","2.5","7.5","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","54","3.878","59.3","13.0","5.6",".",".","",".","",".","20.4","",".",".","",".","",".","1.9",".",".","."
"","Dept. Total","","94","3.632","53.2","13.8","16.0","1.1","3.2","",".","",".","11.7","",".",".","",".","",".","1.1",".",".","."
