"","990
100","","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
150","","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
151","","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Rsch in Human Cancer Bio","Course Total","","24","3.910","79.2",".","8.3",".","",".","",".","",".","8.3","",".",".","",".","4.2","",".",".",".","."
"H ONCOL
480","Dept. Total","","56","3.854","53.6","12.5","5.4",".","",".","",".","",".","3.6","",".","23.2","",".","1.8","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","5","4.000","80.0",".",".",".","",".","",".","",".",".","",".","20.0","",".",".","",".",".",".","."
"Undergraduates","","","5","4.000","80.0",".",".",".","",".","",".","",".",".","",".","20.0","",".",".","",".",".",".","."
"Special","","","3","3.750","33.3","33.3",".",".","",".","",".","",".",".","",".","33.3","",".",".","",".",".",".","."
"Graduate","","","42","3.843","50.0","9.5","7.1",".","",".","",".","",".","4.8","",".","26.2","",".","2.4","",".",".",".","."
"Prof Yr 2","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","","5","3.800","60.0","40.0",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","","6","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","56","3.854","53.6","12.5","5.4",".","",".","",".","",".","3.6","",".","23.2","",".","1.8","",".",".",".","."
