"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","106","2.458","16.0","6.6","21.7","5.7","34.0","11.3","4.7",".",".",".",".",".",".",".",".","."
"","201
002","133","2.308","9.0","4.5","29.3","4.5","35.3","9.0","8.3",".",".",".",".",".",".",".",".","."
"Statics","Course Total","239","2.374","12.1","5.4","25.9","5.0","34.7","10.0","6.7",".",".",".",".",".",".",".",".","."
"","202
001","14","2.821","21.4","7.1","35.7",".","28.6","7.1",".",".",".",".",".",".",".",".",".","."
"","002
202","14","2.786","14.3","14.3","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"","202
003","17","2.529","11.8","11.8","11.8","23.5","29.4","11.8",".",".",".",".",".",".",".",".",".","."
"","202
004","14","2.857","21.4","28.6","21.4",".","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"","005
202","7","2.857","14.3","14.3","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","66","2.750","16.7","15.2","19.7","16.7","24.2","6.1","1.5",".",".",".",".",".",".",".",".","."
"Statics & Mech of Materials","214
001","9","2.833","11.1","22.2","44.4","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","303
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","7","3.000","42.9","28.6",".",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","304
001","18","2.417","11.1","11.1","16.7","27.8","16.7","5.6","11.1",".",".",".",".",".",".",".",".","."
"","304
002","13","2.500","7.7","7.7","38.5","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".","."
"","304
003","11","3.091","9.1","18.2","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","17","2.706","11.8","29.4","17.6","5.9","17.6","17.6",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","59","2.644","10.2","16.9","28.8","16.9","11.9","11.9","3.4",".",".",".",".",".",".",".",".","."
"","307
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","7","3.071","28.6","14.3","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","26","3.038","15.4","19.2","34.6","19.2","11.5",".",".",".",".",".",".",".",".",".",".","."
"","469
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","469
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Probs in Engineering","Course Total","8","3.000","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Fatigue of Engr Materials","518
001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Aerodynamics","521
001","8","2.375",".",".","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
001","21","2.810",".","28.6","33.3","28.6","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","13","3.385","38.5","15.4","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","601
001","16","2.969","12.5","18.8","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
601","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","22","3.019","18.2","22.7","27.3","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Finite Elements","605
001","13","3.208","23.1","23.1","30.8",".","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","6","3.000","16.7",".","50.0",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"","890
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
