"HUMAN DEVEL & FAMILY STUDI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"","299","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","362","001","38","2.711","13.2","15.8","21.1","21.1","21.1","5.3","2.6",".",".",".",".",".",".",".",".","."
"","362","002","146","2.875","12.3","17.8","28.1","24.0","7.5","4.8","1.4","4.1",".",".",".",".",".",".",".","."
"","362","003","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development of Young Child","","Course Total","198","2.919","17.7","17.2","24.7","21.7","9.6","4.5","1.5","3.0",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","363","001","148","3.027","16.2","16.9","41.2","12.8","10.8","1.4","0.7",".",".",".",".",".",".",".",".","."
"Mass Media and the Family","376","001","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intellect Develop&Preschool","460","001","35","3.914","91.4","5.7",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Soc&Emotnl Dev-Early Educ","461","001","38","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Laboratory","463","001","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Family&Com Influences-Child","469","001","37","3.676","56.8","27.0","13.5",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471","001","30","3.431","26.7","33.3","33.3","3.3",".",".",".",".",".",".",".",".",".","3.3",".","."
"Ethnic Minority Families-US","474","001","29","3.724","75.9","6.9","10.3",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","001","30","3.121","23.3","26.7","13.3","23.3","6.7","3.3",".","3.3",".",".",".",".",".",".",".","."
"Family Stress and Coping","516","001","47","3.309","12.8","51.1","21.3","14.9",".",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535","001","38","3.224","39.5","18.4","18.4","5.3","15.8",".","2.6",".",".",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","564","001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565","001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566","001","23","3.478","30.4","34.8","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","025","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","041","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","","Course Total","25","3.968","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr: Child & Fam Studies","664","001","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","12","3.946","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","766","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parnt-Chld Across Life Crse","842","001","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865","001","21","3.825","66.7","23.8","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Bridging Gap: Rsch & Action","872","001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
