"","995
004","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","995
027","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","995
042","6","4.000","66.7",".",".",".",".",".",".",".",".","",".",".","","33.3",".","",".",".","."
"Rsch-Macromolecular Chem","Course Total","8","4.000","62.5",".",".",".",".",".",".",".","",".",".","",".","37.5","",".",".",".","."
"CHEM
224","Dept. Total","5630","3.040","30.1","11.2","28.9","6.6","16.0","2.9","2.0","1.7","",".",".","",".","0.4","",".","0.2","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2425","3.040","28.4","11.2","31.9","7.2","16.2","2.9","2.1",".","",".",".","",".",".","",".","0.1",".","."
"Sophomore","","1105","2.813","21.9","8.5","30.7","6.7","24.9","4.9","2.3",".","",".",".","",".",".","",".","0.2",".","."
"Junior","","834","2.938","26.4","13.4","30.3","7.7","15.5","3.5","2.5",".","",".",".","",".",".","",".","0.5","0.1","0.1"
"Senior","","697","3.096","34.4","14.2","27.8","6.2","13.5","1.4","1.4","0.1","",".",".","",".",".","",".","0.6","0.1","0.1"
"Undergraduates","","5061","2.984","27.5","11.4","30.8","7.0","17.6","3.2","2.1","0.0","",".",".","",".",".","",".","0.2","0.0","0.0"
"Special","","61","3.138","34.4","9.8","27.9","14.8","6.6",".","3.3","3.3","",".",".","",".",".","",".",".",".","."
"Graduate","","627","3.785","47.2","7.5","8.3","1.0","0.6",".",".","31.9","",".",".","",".","3.3","",".",".","0.2","."
"Prof Yr 3","","6","3.625","33.3",".","16.7",".",".",".",".","50.0","",".",".","",".",".","",".",".",".","."
"Professionals","","6","3.625","33.3",".","16.7",".",".",".",".","50.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","5755","3.040","29.7","10.9","28.3","6.4","15.6","2.8","1.9","3.6","",".",".","",".","0.4","",".","0.2","0.1","0.0"
