"ALS","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX
Dept. Total
362","256","3.200","17.6","12.1","26.2","15.2","4.7","1.2","",".","18.8","",".",".","",".","2.7","1.2","0.4",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","14","3.045","7.1","28.6","35.7","28.6",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","43","2.609","2.3","7.0","39.5","34.9","9.3","4.7","",".",".","",".",".","",".",".",".","2.3",".","."
"Senior","84","2.899","3.6","20.2","41.7","21.4","8.3","1.2","",".","2.4","",".",".","",".",".","1.2",".",".","."
"Undergraduates","141","2.831","3.5","17.0","40.4","26.2","7.8","2.1","",".","1.4","",".",".","",".",".","0.7","0.7",".","."
"Special","15","3.389","20.0","6.7","33.3","6.7",".",".","",".","26.7","",".",".","",".",".","6.7",".",".","."
"Graduate","100","3.748","37.0","6.0","5.0","1.0","1.0",".","",".","42.0","",".",".","",".","7.0","1.0",".",".","."
"Dept. Total","256","3.200","17.6","12.1","26.2","15.2","4.7","1.2","",".","18.8","",".",".","",".","2.7","1.2","0.4",".","."
