"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro-Substan Criminal Law","Course Total","231","3.526","42.0","24.7","31.2","0.9","0.9","0.4",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","730
001","26","3.587","34.6","34.6","19.2",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"","731
001","115","3.453","37.4","6.1","36.5","1.7","1.7",".",".","16.5",".",".",".",".",".",".",".","."
"","731
002","19","3.447","36.8","15.8","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","134","3.452","37.3","7.5","38.1","1.5","1.5",".",".","14.2",".",".",".",".",".",".",".","."
"Real Estate Transactions I","001
732","66","3.274","33.3","1.5","19.7",".",".","9.1",".","36.4",".",".",".",".",".",".",".","."
"","733
001","113","3.130","24.8","11.5","13.3","1.8","0.9","12.4",".","35.4",".",".",".",".",".",".",".","."
"","733
002","38","2.960","21.1","2.6","26.3","2.6","2.6","7.9","2.6","34.2",".",".",".",".",".",".",".","."
"Trusts and Estates","Course Total","151","3.087","23.8","9.3","16.6","2.0","1.3","11.3","0.7","35.1",".",".",".",".",".",".",".","."
"Marital Property","734
001","9","3.357","33.3","11.1","22.2",".",".","11.1",".","22.2",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","25","3.306","36.0","12.0","12.0",".",".","12.0",".","28.0",".",".",".",".",".",".",".","."
"","740
001","63","3.405","27.0","38.1","28.6","1.6",".","4.8",".",".",".",".",".",".",".",".",".","."
"","740
002","27","3.609","44.4","14.8","25.9",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"","740
003","45","3.523","44.4","15.6","31.1","4.4",".",".",".","4.4",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","135","3.481","36.3","25.9","28.9","2.2",".","2.2",".","4.4",".",".",".",".",".",".",".","."
"","742
001","42","3.500","50.0","9.5","21.4","2.4",".","2.4","2.4","11.9",".",".",".",".",".",".",".","."
"","002
742","30","3.515","40.0","10.0","26.7",".",".","3.3",".","20.0",".",".",".",".",".",".",".","."
"Taxation I","Course Total","72","3.505","45.8","9.7","23.6","1.4",".","2.8","1.4","15.3",".",".",".",".",".",".",".","."
"Negotiations","743
001","24","2.963","16.7",".","62.5",".","20.8",".",".",".",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","31","3.593","51.6","6.5","22.6","6.5",".",".",".","12.9",".",".",".",".",".",".",".","."
"Protective Labor Legislatn","747
001","37","3.500","32.4","29.7","32.4",".",".",".",".","5.4",".",".",".",".",".",".",".","."
"Antitrust","748
001","20","3.531","35.0","15.0","30.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Patent Law","751
001","25","3.326","48.0","4.0","20.0",".","12.0","8.0",".","8.0",".",".",".",".",".",".",".","."
"Copyright Law","752
001","29","3.521","31.0","27.6","20.7","3.4",".",".",".","17.2",".",".",".",".",".",".",".","."
"","801
001","90","3.500","38.9","21.1","24.4","2.2","2.2","1.1",".","10.0",".",".",".",".",".",".",".","."
"","002
801","144","3.464","40.3","21.5","27.1","0.7","3.5","2.8",".","3.5",".",".",".",".",".",".",".","0.7"
"Evidence","Course Total","234","3.477","39.7","21.4","26.1","1.3","3.0","2.1",".","6.0",".",".",".",".",".",".",".","0.4"
"Civil Procedure II","802
002","25","3.583","24.0","12.0","8.0","4.0",".",".",".","52.0",".",".",".",".",".",".",".","."
"Advanced Legal Writing","808
001","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting and Law","811
001","25","3.500","40.0","12.0","40.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"","813
001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","813
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","813
003","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Administrative Advocacy","Course Total","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","21","3.955","47.6","4.8",".",".",".",".",".","47.6",".",".",".",".",".",".",".","."
"","001
817","64","3.500","35.9","12.5","15.6","6.3",".","1.6",".","28.1",".",".",".",".",".",".",".","."
"","817
002","90","3.523","34.4","15.6","17.8","2.2","1.1","1.1",".","27.8",".",".",".",".",".",".",".","."
"Business Organizations I","Course Total","154","3.514","35.1","14.3","16.9","3.9","0.6","1.3",".","27.9",".",".",".",".",".",".",".","."
"Comparative Law","818
001","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conflict of Laws","820
001","34","3.516","44.1","11.8","29.4","5.9",".",".",".","8.8",".",".",".",".",".",".",".","."
