"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"271
Engr Problem Solving I","001","","25","3.220","24.0","40.0","12.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"371
Thermosci Lab-Nuclear Engrs","001","","8","2.750",".","37.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"406
Nuclear Reactor Analysis","001","","8","2.571","12.5","37.5",".","12.5",".","12.5","12.5","12.5",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","10","2.450","10.0","20.0","30.0","10.0","10.0",".","20.0",".",".",".",".",".",".",".",".","."
"423
Nuclear Engr Materials","001","","11","3.364","27.3","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Adv Nuclear Power Engr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","001","","14","2.958","14.3","28.6","7.1","7.1","28.6",".",".","14.3",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","3.563","81.8",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","13","4.000","23.1",".",".",".",".",".",".","46.2",".",".",".","30.8",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","4.000","69.2",".",".",".",".",".",".","23.1",".",".",".","7.7",".",".",".","."
