"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","83","3.633","49.4","30.1","18.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"542
Veterinary Ophthalmology","001","","78","3.660","52.6","30.8","12.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","78","2.910","10.3","14.1","42.3","14.1","19.2",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"642
Large Animal Surgery","001","","30","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","18","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"645","001","","31","3.800","61.3",".",".",".",".",".","3.2","35.5",".",".",".",".",".",".",".","."
"645","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","32","3.800","59.4",".",".",".",".",".","3.1","37.5",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","24","4.000","58.3",".",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","25","4.000","16.0",".",".",".",".",".",".","84.0",".",".",".",".",".",".",".","."
"675
Special Topics","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"741
Clinical Ophthalm Rotation","001","","24","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"745
Small Animal Orthopedics","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"748
Veterinary Dentistry","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
