"","990
060","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
061","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
067","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","25","4.000","52.0",".",".",".",".",".",".","36.0","",".",".","",".","12.0","",".",".",".","."
"AN SCI
604","Dept. Total","489","3.112","33.7","19.2","22.3","10.8","8.0","1.6","1.6","1.8","",".",".","",".","0.6","",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","137","2.962","34.3","10.9","31.4","9.5","9.5","2.2","1.5",".","",".",".","",".",".","",".","0.7",".","."
"Sophomore","","78","3.161","24.4","30.8","26.9","6.4","9.0","1.3","1.3",".","",".",".","",".",".","",".",".",".","."
"Junior","","88","3.033","27.3","17.0","25.0","15.9","10.2","3.4","1.1",".","",".",".","",".",".","",".",".",".","."
"Senior","","116","3.023","31.0","28.4","12.1","17.2","6.9","0.9","3.4",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","419","3.035","30.1","20.8","23.9","12.4","8.8","1.9","1.9",".","",".",".","",".",".","",".","0.2",".","."
"Special","","4","2.750","25.0",".","25.0","25.0","25.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","74","3.808","48.6","9.5","10.8",".","1.4",".",".","25.7","",".",".","",".","4.1","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","499","3.112","33.1","18.8","21.8","10.6","7.8","1.6","1.6","3.8","",".",".","",".","0.6","",".","0.2",".","."
