"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing","150
001","218","3.846","78.4","15.6","5.0","0.5","",".",".","","0.5",".","",".","",".",".","",".","",".","",".",".","."
"Smr-Writng Across Curriculm","316
001","14","3.643","57.1","21.4","14.3","7.1","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"INTER-LS
502","Dept. Total","232","3.813","77.2","15.9","5.6","0.9","",".","",".","0.4","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","192","3.849","79.2","15.1","4.7","0.5","",".","",".","0.5","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","26","3.827","73.1","19.2","7.7",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","6","3.417","50.0",".","33.3","16.7","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","8","3.813","62.5","37.5",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","232","3.813","77.2","15.9","5.6","0.9","",".","",".","0.4","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","232","3.813","77.2","15.9","5.6","0.9","",".","",".","0.4","",".","",".",".","",".","",".","",".",".",".","."
