"DESIGN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","114","2.921","9.6","26.3","28.9","17.5","14.0","2.6","0.9",".",".",".",".",".",".",".",".","."
"","153","001","16","3.375","25.0","31.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","153","002","14","3.036","7.1","35.7","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Apprl Dsgn:Clothing Const I","","Course Total","30","3.217","16.7","33.3","33.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","13","3.231","38.5","30.8","15.4",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","17","3.265","23.5","17.6","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221","001","69","2.986","27.5","18.8","23.2","10.1","8.7","10.1","1.4",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","30","3.034","23.3","16.7","23.3","16.7","13.3","3.3",".","3.3",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","10","3.500","40.0","10.0","40.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","12","2.792",".","33.3","25.0","8.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","16","3.281","43.8","18.8","25.0",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","253","001","9","2.563",".","22.2","33.3","11.1","11.1",".","11.1","11.1",".",".",".",".",".",".",".","."
"","253","002","11","3.136","36.4","9.1","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"Apprl Dsgn:Flat Patt&Drapng","","Course Total","20","2.895","20.0","15.0","30.0","15.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".","."
"Independent Study","299","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","9","3.389","44.4","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","28","3.125","10.7","32.1","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","16","3.313","31.3","25.0","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","25","3.300","28.0","24.0","36.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","37","2.757","10.8","16.2","27.0","18.9","13.5","5.4","2.7","2.7",".",".",".",".","2.7",".",".","."
"Apparel Design II","425","001","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430","001","15","3.214","33.3","6.7","33.3","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","12","3.455","16.7","50.0","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Special Topics","","Course Total","20","3.474","25.0","40.0","30.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Textile:Spec & End Use Anal","561","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","015","12","3.576","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","13","3.611","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","14","3.321","28.6","14.3","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624","001","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","13","3.691","61.5","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Smr-Environmt,Textiles&Dsgn","920","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 142 of 370",""
