"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to East Asian Civ","222
001","","38","3.184","36.8","18.4","21.1","2.6","18.4",".","","2.6",".","",".","",".",".","",".","",".","",".",".","."
"E A STDS
298","Dept. Total","","38","3.184","36.8","18.4","21.1","2.6","18.4","",".","2.6","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","13","2.846","23.1","23.1","15.4","7.7","23.1","",".","7.7","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","10","3.400","50.0","20.0","10.0",".","20.0","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","9","3.111","33.3",".","44.4",".","22.2","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","6","3.667","50.0","33.3","16.7",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","38","3.184","36.8","18.4","21.1","2.6","18.4","",".","2.6","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","38","3.184","36.8","18.4","21.1","2.6","18.4","",".","2.6","",".","",".",".","",".","",".","",".",".",".","."
