"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"248
Envir, Nat Rsrce & Communty","001","","19","3.053","21.1","15.8","31.6","15.8","15.8",".",".",".",".",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"300
Forest Biometry","001","","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Intro-Aerial Photo Systems","001","","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"302
Elec-op&Micro Remote Sensng","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"303
Remote Sensng Digtl Image","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"304
Remote Sensng Vis Image&GIS","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"336
Nutrnt Mgmt: Nursery Trees","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","001","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"402","002","","12","2.864","33.3",".","16.7","8.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".","."
"Dendrology","Course Total","","23","3.250","43.5","13.0","13.0","8.7","13.0","4.3",".","4.3",".",".",".",".",".",".",".","."
"403
Geom Anal-Vert Aerial Photo","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"415
Tree Physiology","001","","12","3.458","50.0","16.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"455
The Vegetation of Wisconsin","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"460
General Ecology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Insects&Diseases-Forest Mgt","001","","20","3.250","25.0","15.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"550
Forest Ecology","001","","45","3.545","48.9","24.4","15.6","8.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"571","001","","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","18","3.471","27.8","38.9","22.2","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","29","3.429","24.1","37.9","31.0","3.4",".",".",".","3.4",".",".",".",".",".",".",".","."
"613
Lignin Chemistry","001","","10","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"614
Pulp, Chemicls, Energy/Wood","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Soc Pol&Mgmt-National Parks","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloq-Forestry&Forest Prod","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 23 of 370"
