"","990
048","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
049","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
050","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
054","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","68","3.972","50.0",".","1.5",".",".",".",".","42.6","",".",".","",".","5.9",".",".",".","."
"ZOOLOGY
970","Dept. Total","3424","3.010","29.0","13.0","27.1","8.0","14.4","4.2","1.1","1.3","",".","1.6","",".","0.1","0.0","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","437","2.535","14.4","13.5","26.8","7.1","24.7","10.1","3.2",".","",".",".","",".",".","0.2",".",".","."
"Sophomore","","953","2.915","23.4","15.4","28.0","11.3","16.6","4.3","0.8",".","",".",".","",".",".",".","0.1",".","."
"Junior","","701","3.064","30.0","12.6","28.1","7.7","13.8","3.7","0.6","0.1","",".","3.4","",".",".",".",".",".","."
"Senior","","1071","3.162","33.0","12.4","28.9","7.1","11.6","3.1","0.9","0.1","",".","2.6","",".",".",".","0.2",".","0.1"
"Undergraduates","","3162","2.978","26.9","13.5","28.2","8.5","15.4","4.6","1.1","0.1","",".","1.6","",".",".","0.0","0.1",".","0.0"
"Special","","42","3.051","31.0","9.5","33.3","2.4","11.9",".","2.4","7.1","",".","2.4","",".",".",".",".",".","."
"Graduate","","223","3.734","58.3","5.4","10.8","2.2",".",".",".","19.3","",".","0.4","",".","1.8",".",".","1.8","."
"Prof Yr 1","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","2.750",".","50.0",".",".","50.0",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3429","3.010","28.9","12.9","27.1","8.0","14.4","4.2","1.1","1.4","",".","1.6","",".","0.1","0.0","0.1","0.1","0.0"
