"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","43","4.000","97.7",".",".",".",".",".",".",".",".",".",".","2.3",".",".",".","."
"701
Analys-Computers in Curric","001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"702
Curric Dev-Desk Cmptr Envir","001","","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"704
Curriculum Planning","001","","19","3.694","47.4","36.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"708
The Study of Teaching","001","","11","3.750","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"714
Research & Eval Paradigms","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Design of Rsch in Curric","001","","14","3.808","64.3","21.4","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"744
Perspectvs-Multicultrl Educ","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760
Sex-Related Iss-Curric&Inst","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Found & Prin of Music Ed","001","","8","3.714","62.5",".","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"803
Issues in Reading Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"810
Goals,Content&Progm-Math Ed","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Curricular Issues-Math Ed","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Teachng Conceptl Change-Sci","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Fld-School Reading Programs","001","","19","3.289","36.8","5.3","47.4",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"916","001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"916","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Rsch&Eval-C&I","Course Total","","29","3.914","89.7","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smr-English Lang Arts Educ","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Smr-Rsch on Math Education","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Pre&In-Service Ed-Teachers","001","","17","3.875","70.6","23.5",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"960
Seminar-Science Education","001","","10","3.958","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","6","4.000","16.7",".",".",".",".",".",".","33.3",".",".",".","50.0",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","8","4.000","37.5",".",".",".",".",".",".","37.5",".",".",".","25.0",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 90 of 370"
