"","037
990","21","3.571","14.3",".","4.8",".",".",".","",".","","38.1",".","",".",".","","42.9",".","",".",".","."
"","990
039","2","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
040","2","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","52","3.871","32.7","3.8","1.9",".",".","",".","",".","38.5","",".",".","",".","23.1","",".",".",".","."
"ONCOLOGY
700","Dept. Total","133","3.657","36.1","13.5","10.5","1.5","0.8","",".","",".","28.6","",".",".","",".","9.0","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","5","3.611","40.0","40.0","20.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","18","3.417","33.3","22.2","22.2","11.1",".","",".","",".","11.1","",".",".","",".",".","",".",".",".","."
"Undergraduates","","25","3.479","40.0","24.0","20.0","8.0",".","",".","",".","8.0","",".",".","",".",".","",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","119","3.709","31.9","9.2","7.6",".","0.8","",".","",".","40.3","",".",".","",".","10.1","",".",".",".","."
"Prof Yr 2","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","147","3.657","32.7","12.2","9.5","1.4","0.7","",".","",".","35.4","",".",".","",".","8.2","",".",".",".","."
