"MED","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","",""
"History-20th C Am Medicine","218
001","","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504
001","","8","3.250","25.0","37.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","","7","3.708","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531
001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Law and Ethics","613
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study in Med History","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","734
001","","21","3.777","71.4","23.8",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","734
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies in Med Ethics","Course Total","","24","3.702","66.7","20.8","4.2",".","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Reading and Research","890
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Smr in Med History","902
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bioethics and the Law","905
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","","73","3.592","47.9","21.9","12.3","5.5","1.4",".","1.4","9.6",".",".",".",".",".",".",".","."
