"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","134
007","20","3.444","25.0","30.0","35.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","141","3.558","35.5","26.2","21.3","2.1",".",".",".","14.9",".",".",".",".",".",".",".","."
"","001
138","18","3.679","33.3","38.9","5.6",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","138
002","17","3.813","29.4","17.6",".",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"","138
003","18","3.273","11.1","22.2","16.7","11.1",".",".",".","33.3",".",".",".",".",".","5.6",".","."
"","138
005","15","3.250","6.7","33.3","53.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","138
006","13","3.500","15.4","15.4","15.4",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"Golf I","Course Total","81","3.481","19.8","25.9","17.3","2.5",".",".",".","33.3",".",".",".",".",".","1.2",".","."
"","140
002","17","3.417","17.6","5.9","5.9",".","5.9",".",".","64.7",".",".",".",".",".",".",".","."
"","140
003","18","3.607","50.0","11.1",".","16.7",".",".",".","22.2",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","35","3.550","34.3","8.6","2.9","8.6","2.9",".",".","42.9",".",".",".",".",".",".",".","."
"Ice Skating II","002
145","19","3.458","26.3","15.8","15.8",".","5.3",".",".","31.6",".",".",".",".",".","5.3",".","."
"","155
001","17","3.417","29.4","11.8","23.5",".","5.9",".",".","29.4",".",".",".",".",".",".",".","."
"","155
002","19","3.094","15.8","31.6","21.1","5.3","5.3",".","5.3","5.3","5.3",".",".",".",".","5.3",".","."
"Badminton I","Course Total","36","3.232","22.2","22.2","22.2","2.8","5.6",".","2.8","16.7","2.8",".",".",".",".","2.8",".","."
"","157
001","20","3.406","35.0","25.0","15.0",".",".",".","5.0","20.0",".",".",".",".",".",".",".","."
"","157
002","20","3.750","50.0","35.0","5.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","004
157","33","3.547","33.3","39.4","24.2",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Fencing I","Course Total","73","3.568","38.4","34.2","16.4",".",".",".","1.4","9.6",".",".",".",".",".",".",".","."
"","162
001","17","3.571","29.4","41.2","5.9","5.9",".",".",".","17.6",".",".",".",".",".",".",".","."
"","162
002","16","3.600","25.0","25.0","12.5",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"","162
003","12","3.500","25.0","25.0","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","162
004","18","2.906","11.1","33.3","27.8","5.6",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"Tennis I","Course Total","63","3.347","22.2","31.7","17.5","3.2",".",".","3.2","22.2",".",".",".",".",".",".",".","."
"","163
001","14","3.556","21.4","35.7",".","7.1",".",".",".","35.7",".",".",".",".",".",".",".","."
"","004
163","13","3.875","46.2","15.4",".",".",".",".",".","30.8","7.7",".",".",".",".",".",".","."
"","163
005","16","3.455","43.8","12.5","6.3",".",".",".","6.3","31.3",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","43","3.607","37.2","20.9","2.3","2.3",".",".","2.3","32.6","2.3",".",".",".",".",".",".","."
"Basketball I","170
001","14","3.107","7.1","21.4","64.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Soccer I","173
001","21","3.528","38.1","23.8","14.3","9.5",".",".",".","14.3",".",".",".",".",".",".",".","."
"","175
001","28","3.417","21.4","32.1","28.6","3.6",".",".",".","14.3",".",".",".",".",".",".",".","."
"","002
175","26","3.271","19.2","23.1","42.3","3.8","3.8",".",".","7.7",".",".",".",".",".",".",".","."
"","003
175","33","3.477","33.3","15.2","9.1",".","9.1",".",".","30.3","3.0",".",".",".",".",".",".","."
"Volleyball I","Course Total","87","3.386","25.3","23.0","25.3","2.3","4.6",".",".","18.4","1.1",".",".",".",".",".",".","."
"Softball","179
001","11","3.222","18.2","27.3","18.2","9.1","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"","201
001","14","3.611","35.7","7.1","21.4",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","201
002","14","3.167","7.1","21.4","21.4","14.3",".",".",".","35.7",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","28","3.389","21.4","14.3","21.4","7.1",".",".",".","35.7",".",".",".",".",".",".",".","."
"","002
211","24","3.906","54.2","12.5",".",".",".",".",".","29.2",".",".",".",".",".","4.2",".","."
"","211
004","21","3.975","90.5","4.8",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","45","3.944","71.1","8.9",".",".",".",".",".","17.8",".",".",".",".",".","2.2",".","."
"Weight Training II","232
001","15","3.708","46.7","20.0","13.3",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Golf II","238
001","11","3.375","9.1","36.4","27.3",".",".",".",".","27.3",".",".",".",".",".",".",".","."
