"ANTHROPOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"690","002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","Course Total","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"696","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"696","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.938","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Prosem-Archaeol Meth&Theory","001","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Fund Anthropological Theory","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Cultural Productions","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"909
Resch Meth&Dsgn-Cult Anthro","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Smr-Archaeological Problems","001","","13","3.625","46.2","23.1","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"982
Smr-Latin American Area","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","7","4.000","42.9",".",".",".",".",".",".","14.3",".",".",".","42.9",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","046","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","71","4.000","45.1",".",".",".",".",".",".","42.3",".",".",".","12.7",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
